SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;NN_MORADORES_ANALISE;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y;CD_SETOR_ORIGINAL;CD_SETOR;NN_MEDIA_CONSUMO;NN_CONSUMO_DIARIO;TP_COMPORTAMENTO;VL_RENDA_MEDIA_RESPONSAVEL;NN_MEDIA_MORADORES_IBGE
00F7CB2CF5D05D0F776C806909857017EE517B778064A0A50C8E0259CC210539;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.940360256339629;-38.36189639942446;569214.6054574833;8569373.284704033;292740805090032;S014;6.166666666666667;101.0928961748634;MODERADO;1291.49;2.5
0234239DB83A648AEDDEE894268C57F481137150104260039A72A05F725AB6B8;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938025789949108;-38.3601858749724;569400.7972783705;8569630.994537625;292740805090033;S015;0.0;0.0;AMBIENTALISTA;1561.82;2.5
02386243BC53EC23E402783573B199C090EE1F970CDC06DD9C2B949C85585C8B;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.945167155503388;-38.36287277953233;569107.3702212285;8568841.944342945;292740805090203;S063;0.0;0.0;AMBIENTALISTA;1285.44;2.6
02F8E4CC0BE2ACD019A75698AC85C0EF477C6A3A2EC2747EFEB78A206A9DDA07;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.941946290084733;-38.3619787636956;569205.2336943514;8569197.904428273;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
031B7CB19D864622172D64F0B4FE03BEBF93DF9F3C81F1F9065F14046DDA5A2F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94465066137692;-38.363314735059554;569059.5729745422;8568899.183820454;292740805090067;S022;0.0;0.0;AMBIENTALISTA;1521.44;2.7
042BFD10C8F6A48D825D5FD3F43436DC29167A6C792FE829CA0AA7561C1E8029;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.941061154543569;-38.36162641735131;569243.6978890774;8569295.697948935;292740805090121;S039;0.0;0.0;AMBIENTALISTA;1138.01;2.6
05087B1146CC3220A3AB6CB5037D2A678B8829AF8602D8DC4783936CAE877DAC;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.940927792187438;-38.36142834193099;569265.2205367624;8569310.393131142;292740805090121;S039;0.0;0.0;AMBIENTALISTA;1138.01;2.6
05A3850939A7CE782C15FF24000B95A8054EE385A09CAC671FD21E7253F84055;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.932887982791392;-38.37033746230515;568301.0094664684;8570201.92503712;292740805090239;S065;12.75;139.34426229508196;PERDULARIO;2439.49;3.2
063BA6E972371AF4C02790C2F9D4BC68C51B348585E430D3B81C968D5771A215;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.935466728313612;-38.36551735104709;568823.1708963603;8569915.445859607;292740805090074;S024;4.0;43.71584699453552;AMBIENTALISTA;2869.74;2.7
068D0BB9E4E133ED81F52C886CC9DC223651027A243415199607EDAF709903DC;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.945206974733956;-38.36308093947843;569084.7798969735;8568837.596896399;292740805090203;S063;0.0;0.0;AMBIENTALISTA;1285.44;2.6
06DDF06E3850907F6FA5DB73A8F6EC3FB14BD491C29A20D28DA4A0AD9B6D277A;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.942163604131174;-38.36192235505675;569211.2925401046;8569173.855981879;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
07A112642E6DAC35BDA42A08F6086FCDD395D829FAF55F319B5724D92B6AAEA0;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.937860624995976;-38.35949797818039;569475.4621482379;8569649.073781645;292740805090033;S015;6.916666666666667;113.3879781420765;MODERADO;1561.82;2.5
07B25EB9895E2198330BA8094FE07ECF6A158DE9568410071F65F13148ED95EA;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.94038525733714;-38.36108553141969;569302.5560801192;8569370.300281424;292740805090083;S029;7.083333333333333;116.12021857923497;MODERADO;4271.33;2.4
07BD9065AD2F96AD5EB96D52631324531C025A8576B5DDFFD87E45986ED8CC46;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.939701571817796;-38.36140450358508;569268.1448383428;8569445.99677803;292740805090105;S033;3.0;32.78688524590164;AMBIENTALISTA;1357.46;2.6
08105C190339653B4F5D954B138D87D983D315548FBF6278FB5213DD49E5949A;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.939860832774354;-38.35992783061672;569428.2808082637;8569427.983540796;292740805090105;S033;13.833333333333334;151.183970856102;PERDULARIO;1357.46;2.6
09224134FF0ABAA2E9990884AFB17AE9CAFF2D3543B4E63D4E31F957E86AB342;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94494505643236;-38.36308781003906;569084.1067740908;8568866.564809807;292740805090203;S063;0.0;0.0;AMBIENTALISTA;1285.44;2.6
098CA9C3F0032FA6A4DD32F7F152BDEE9FD1C57B8DCEA21D2F67E4F2867FA9FE;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.936084510017828;-38.36731823388672;568627.6506602005;8569847.607862245;292740805090115;S037;12.5;136.6120218579235;PERDULARIO;1588.18;2.6
0B72E4E47147C5CA3E8D5A30FBD7B1388D3B33F2810A4D60A58386D8EB954D10;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.936456088317346;-38.35813755331866;569623.4230561925;8569804.034521967;292740805090304;S087;4.583333333333333;50.09107468123861;AMBIENTALISTA;2262.39;2.6
0B94067B185167329B75E353FA9687E096EF89CA3B519EA5B9297445D473F555;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938358454284147;-38.35906001534668;569522.8320120854;8569593.898904385;292740805090166;S050;0.0;0.0;AMBIENTALISTA;1452.2;2.5
0C2ED22E52F7B889C5DCB715B44E40C0CF4E25A77F1A17A3182C9529C3EAA768;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.94055905766103;-38.362356807196186;569164.6087178326;8569351.423396533;292740805090032;S014;3.5833333333333335;58.743169398907106;AMBIENTALISTA;1291.49;2.5
0C455EFD2B0FAFCF7B8D2755F1CFBB9E6BF2BC5901E6AC1D22BB32A5DEC7326D;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938386460610504;-38.36131999186073;569277.6751617377;8569591.414596504;292740805090084;S030;10.0;163.9344262295082;PERDULARIO;1709.9;2.3
0D050EE8807E26EA3C2B139BB436DCC5614A783303ED52F6DC94F681DC6571C1;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.939178043867452;-38.36172015404996;569234.0495342398;8569503.980185088;292740805090084;S030;1.0;16.39344262295082;AMBIENTALISTA;1709.9;2.3
0D2AD1D4938125313921DAF08A78F749D8640F09A0B552F75E3F55A92F4E03D3;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938387375745677;-38.36067883389413;569347.2239816646;8569591.13971046;292740805090084;S030;1.1666666666666667;19.125683060109292;AMBIENTALISTA;1709.9;2.3
0D3147E73C8B8DD4381228A01471179FE8A3B46B0429F831B72BF5A45EE38159;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.939590639562354;-38.36175446205733;569230.2141925357;8569458.359712113;292740805090082;S028;0.0;0.0;AMBIENTALISTA;1286.26;2.5
0E5F01B1E878C33E061FAD3AFCD4C1DC5D635A8B3434292CA93C1BE3F0CD8D69;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.941941559444706;-38.36228273482259;569172.2624598435;8569198.509815138;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
