mes/ano;consumo;data
201501;202383;2015-01-01
201502;197577;2015-02-01
201503;202766;2015-03-01
201504;185592;2015-04-01
201505;189076;2015-05-01
201506;169479;2015-06-01
201507;168404;2015-07-01
201508;181774;2015-08-01
201509;176949;2015-09-01
201510;183231;2015-10-01
201511;205476;2015-11-01
201512;191488;2015-12-01
201601;193920;2016-01-01
201602;199687;2016-02-01
201603;187185;2016-03-01
201604;191349;2016-04-01
201605;194164;2016-05-01
201606;168022;2016-06-01
201607;166649;2016-07-01
201608;185467;2016-08-01
201609;178795;2016-09-01
201610;177645;2016-10-01
201611;198381;2016-11-01
201612;185451;2016-12-01
201701;192728;2017-01-01
201702;192450;2017-02-01
201703;198014;2017-03-01
201704;172863;2017-04-01
201705;181690;2017-05-01
201706;177076;2017-06-01
201707;164040;2017-07-01
201708;167257;2017-08-01
201709;178144;2017-09-01
201710;163056;2017-10-01
201711;181888;2017-11-01
201712;194099;2017-12-01
201801;185673;2018-01-01
201802;178726;2018-02-01
201803;194698;2018-03-01
201804;197362;2018-04-01
201805;174983;2018-05-01
201806;179752;2018-06-01
201807;165671;2018-07-01
201808;184472;2018-08-01
201809;168952;2018-09-01
201810;173294;2018-10-01
201811;195736;2018-11-01
201812;186254;2018-12-01
201901;195945;2019-01-01
201902;209874;2019-02-01
201903;202277;2019-03-01
201904;182558;2019-04-01
201905;189614;2019-05-01
201906;177992;2019-06-01
201907;168787;2019-07-01
201908;176794;2019-08-01
201909;168835;2019-09-01
201910;176896;2019-10-01
201911;191911;2019-11-01
201912;189162;2019-12-01
202001;195354;2020-01-01
202002;196312;2020-02-01
202003;191784;2020-03-01
202004;182272;2020-04-01
202005;192787;2020-05-01
202006;178314;2020-06-01
202007;187292;2020-07-01
202008;186708;2020-08-01
202009;181685;2020-09-01
202010;187963;2020-10-01
202011;205922;2020-11-01
202012;191593;2020-12-01
202101;220737;2021-01-01
202102;191141;2021-02-01
202103;202379;2021-03-01
202104;208041;2021-04-01
202105;183324;2021-05-01
202106;181662;2021-06-01
202107;179264;2021-07-01
202108;175447;2021-08-01
202109;179649;2021-09-01
202110;195060;2021-10-01
202111;193154;2021-11-01
202112;199083;2021-12-01
202201;186036;2022-01-01
202202;189717;2022-02-01
202203;192273;2022-03-01
202204;199709;2022-04-01
202205;188617;2022-05-01
202206;182796;2022-06-01
202207;187941;2022-07-01
202208;173393;2022-08-01
202209;178088;2022-09-01
202210;179847;2022-10-01
202211;193931;2022-11-01
202212;192866;2022-12-01
202301;206433;2023-01-01
202302;193681;2023-02-01
202303;196522;2023-03-01
202304;189562;2023-04-01
202305;178518;2023-05-01
202306;181366;2023-06-01
202307;178034;2023-07-01
202308;178011;2023-08-01
202309;175782;2023-09-01
202310;185121;2023-10-01
202311;191259;2023-11-01
202312;200910;2023-12-01
202401;189044;2024-01-01
202402;185702;2024-02-01
202403;183838;2024-03-01
202404;198852;2024-04-01
202405;177510;2024-05-01
202406;184116;2024-06-01
202407;160675;2024-07-01
202408;169213;2024-08-01
202409;180076;2024-09-01
202410;173150;2024-10-01
202411;178233;2024-11-01
202412;181749;2024-12-01
202501;187610;2025-01-01
202502;178072;2025-02-01
202503;181843;2025-03-01
202504;183966;2025-04-01
202505;172321;2025-05-01
202506;166958;2025-06-01
202507;166067;2025-07-01
202508;152972;2025-08-01
202509;174096;2025-09-01
202510;166081;2025-10-01
202511;170290;2025-11-01
202512;182781;2025-12-01
