AM_REFERENCIA;real_total_consumption
201601;193920
201602;199687
201603;187185
201604;191349
201605;194164
201606;168022
201607;166649
201608;185467
201609;178795
201610;177645
201611;198381
201612;185451
201701;192728
201702;192450
201703;198014
201704;172863
201705;181690
201706;177076
201707;164040
201708;167257
201709;178144
201710;163056
201711;181888
201712;194099
201801;185673
201802;178726
201803;194698
201804;197362
201805;174983
201806;179752
201807;165671
201808;184472
201809;168952
201810;173294
201811;195736
201812;186254
201901;195945
201902;209874
201903;202277
201904;182558
201905;189614
201906;177992
201907;168787
201908;176794
201909;168835
201910;176896
201911;191911
201912;189162
202001;195354
202002;196312
202003;191784
202004;182272
202005;192787
202006;178314
202007;187292
202008;186708
202009;181685
202010;187963
202011;205922
202012;191593
202101;220737
202102;191141
202103;202379
202104;208041
202105;183324
202106;181662
202107;179264
202108;175447
202109;179649
202110;195060
202111;193154
202112;199083
202201;186036
202202;189717
202203;192273
202204;199709
202205;188617
202206;182796
202207;187941
202208;173393
202209;178088
202210;179847
202211;193931
202212;192866
202301;206433
202302;193681
202303;196522
202304;189562
202305;178518
202306;181366
202307;178034
202308;178011
202309;175782
202310;185121
202311;191259
202312;200910
202401;189044
202402;185702
202403;183838
202404;198852
202405;177510
202406;184116
202407;160675
202408;169213
202409;180076
202410;173150
202411;178233
202412;181749
202501;187610
202502;178072
202503;181843
202504;183966
202505;172321
202506;166958
202507;166067
202508;152972
202509;174096
202510;166081
202511;170290
202512;182781
