Ano;GDP (R$);% Cresc.
1901;515,9254243;
1902;498,6562233;-0,033472282
1903;493,057298;-0,011228026
1904;484,601906;-0,017148903
1905;484,7091273;0,000221256
1906;528,9523391;0,09127786
1907;516,152825;-0,024197859
1908;483,7208085;-0,062834135
1909;516,8777801;0,06854568
1910;513,9938213;-0,005579576
1911;527,5179796;0,026311908
1912;547,2593245;0,037423075
1913;547,0490674;-0,0003842
1914;525,3000975;-0,03975689
1915;513,0296866;-0,023358859
1916;504,8208476;-0,01600071
1917;539,0485617;0,067801705
1918;516,271701;-0,04225382
1919;545,1918428;0,05601729
1920;601,0195453;0,102400106
1921;601,2179726;0,000330151
1922;637,0871827;0,059660908
1923;680,8790951;0,068737708
1924;680,0846806;-0,001166748
1925;670,4366154;-0,014186565
1926;695,7263637;0,037721311
1927;760,7606346;0,093476795
1928;837,4050766;0,100747119
1929;835,9562314;-0,00173016
1930;808,1486806;-0,033264362
1931;771,6456462;-0,045168711
1932;794,5606762;0,029696312
1933;853,9976239;0,074804794
1934;920,0527468;0,077348134
1935;934,4856903;0,015687083
1936;1032,406287;0,10478555
1937;1063,573953;0,030189341
1938;1093,827258;0,028444947
1939;1102,519686;0,007946802
1940;1072,400989;-0,027318059
1941;1104,179076;0,029632654
1942;1053,216427;-0,046154332
1943;1118,887673;0,062353039
1944;1177,426729;0,052318975
1945;1187,059381;0,008181105
1946;1292,859636;0,089128022
1947;1290,79552;-0,00159655
1948;1379,429162;0,068665905
1949;1446,168466;0,048381827
1950;1502,457584;0,038922933
1951;1532,278923;0,019848373
1952;1597,661429;0,042670107
1953;1624,813707;0,016995014
1954;1700,809659;0,046772102
1955;1796,443932;0,056228675
1956;1794,26327;-0,001213877
1957;1875,500837;0,045276281
1958;2016,780488;0,075329026
1959;2149,188355;0,065653088
1960;2282,131449;0,061857349
1961;2405,891073;0,05422984
1962;2490,086697;0,034995609
1963;2432,690204;-0,023049998
1964;2443,375125;0,004392224
1965;2431,056428;-0,005041673
1966;2521,149778;0,037059341
1967;2554,174181;0,013098945
1968;2727,667175;0,067925279
1969;2906,074195;0,065406448
1970;3122,819947;0,074583695
1971;3385,767564;0,084201978
1972;3692,100263;0,090476589
1973;4100,870607;0,110714855
1974;4324,412639;0,054510872
1975;4436,187972;0,025847518
1976;4773,32957;0,075998042
1977;4890,436643;0,024533624
1978;5014,511336;0,025370882
1979;5231,942412;0,043360372
1980;5586,353511;0,06773987
1981;5234,514389;-0,062981893
1982;5166,236253;-0,013043834
1983;4910,558975;-0,049490048
1984;5070,541283;0,032579246
1985;5360,000257;0,057086405
1986;5650,327674;0,05416556
1987;5740,630756;0,01598192
1988;5634,23179;-0,018534369
1989;5712,412499;0,013876019
1990;5373,832088;-0,059271002
1991;5343,372977;-0,005668043
1992;5232,943726;-0,020666581
1993;5408,85564;0,033616244
1994;5642,797338;0,043251607
1995;5798,700095;0,02762863
1996;5871,149753;0,012494121
1997;5981,377503;0,018774474
1998;5909,533392;-0,012011299
1999;5879,127285;-0,005145264
2000;6055,623111;0,030020753
2001;7433,48;0,227533462
2002;8306,67;0,117467189
2003;9471,66;0,140247536
2004;10670,69;0,126591326
2005;11700,13;0,096473611
2006;12848;0,098107457
2007;14358,06;0,11753269
2008;16253,18;0,131989976
2009;17254,08;0,061581795
2010;19953,1;0,156427929
2011;22310,38;0,118141041
2012;24357,44;0,091753704
2013;26761,53;0,098700438
2014;28778,07;0,075352194
2015;29622,87;0,029355686
2016;30751,29;0,038092865
2017;32126,5;0,0447204
2018;33878,35;0,05452975
2019;35566,77;0,049837728
2020;36380,83;0,022888218
2021;42893,72;0,17901983
2022;47802,02;0,114429338
2023;51693,92;0,081417061
2024;55.247,45;0,06874174
2025;59.687,49;0,080366424
