Ano;GDP (U$);% Cresc.;Calc
1890;1403,84;;
1891;1366,75;-0,02642;-0,02642039
1892;1291,28;-0,05522;-0,055218584
1893;1099,66;-0,14839;-0,148395391
1894;1099;-0,0006;-0,000600186
1895;1385,99;0,26114;0,261137398
1896;1255,99;-0,09379;-0,093795771
1897;1236,82;-0,01526;-0,01526286
1898;1268,55;0,02565;0,025654501
1899;1243,67;-0,01961;-0,019612944
1900;1200,26;-0,03491;-0,034904758
1901;1291,38;0,07592;0,075916885
1902;1264,56;-0,02077;-0,02076848
1903;1263,04;-0,0012;-0,001201999
1904;1261;-0,00161;-0,001615151
1905;1270,51;0,00754;0,007541634
1906;1362,79;0,07263;0,07263225
1907;1336,12;-0,01957;-0,019570147
1908;1298,78;-0,02794;-0,027946592
1909;1373,27;0,05735;0,057353824
1910;1360;-0,00966;-0,009663067
1911;1478,45;0,0871;0,087095588
1912;1431,56;-0,03171;-0,031715648
1913;1434,77;0,00224;0,002242309
1914;1379,83;-0,03829;-0,038291852
1915;1411,66;0,02306;0,023068059
1916;1422,73;0,00784;0,007841832
1917;1489,47;0,04691;0,046909814
1918;1428,89;-0,04067;-0,040672185
1919;1583,84;0,10844;0,108440818
1920;1703,89;0,0758;0,075796798
1921;1704,33;0,00025;0,000258233
1922;1785,22;0,04746;0,047461466
1923;1849,83;0,03619;0,036191618
1924;1811,48;-0,02073;-0,020731635
1925;1782,23;-0,01615;-0,016147018
1926;1783,85;0,00091;0,000908974
1927;1874,96;0,05108;0,051074922
1928;2049,02;0,09283;0,09283398
1929;2012,32;-0,01791;-0,017911001
1930;1854,49;-0,07843;-0,07843186
1931;1776,65;-0,04197;-0,041973804
1932;1801,65;0,01407;0,014071427
1933;1903,11;0,05631;0,056315045
1934;2020,95;0,06191;0,0619197
1935;2034,51;0,00671;0,006709716
1936;2185,1;0,07402;0,074017822
1937;2211,28;0,01198;0,011981145
1938;2257,43;0,02087;0,020870265
1939;2234,06;-0,01035;-0,01035248
1940;2210,96;-0,01034;-0,010339919
1941;2312,16;0,04577;0,045771972
1942;2174,8;-0,05941;-0,059407653
1943;2420,12;0,1128;0,112801177
1944;2451,92;0,01314;0,013139844
1945;2459,03;0,00289;0,002899768
1946;2655,37;0,07985;0,079844492
1947;2685,37;0,0113;0,011297861
1948;2823,99;0,05162;0,051620447
1949;2878,05;0,01915;0,019143127
1950;2928,42;0,0175;0,017501433
1951;2978,21;0,017;0,017002343
1952;3063,13;0,02851;0,028513772
1953;3117,27;0,01768;0,017674731
1954;3227,79;0,03545;0,035454099
1955;3365,53;0,04267;0,04267316
1956;3317,37;-0,01431;-0,014309782
1957;3492,21;0,05271;0,052704401
1958;3701,79;0,06001;0,060013573
1959;3898,88;0,05324;0,05324181
1960;3953,33;0,01397;0,013965549
1961;4380,3;0,10799;0,108002621
1962;4474,26;0,02145;0,021450586
1963;4626,14;0,03395;0,033945278
1964;4682,49;0,01218;0,012180781
1965;4870,14;0,04007;0,040074832
1966;4925,93;0,01146;0,011455523
1967;5069,98;0,02924;0,029243209
1968;5491,15;0,08307;0,083071334
1969;5694,76;0,03708;0,037079665
1970;6159,64;0,08163;0,08163294
1971;6691,43;0,08633;0,086334591
1972;7312,13;0,09276;0,092760441
1973;8138,04;0,11295;0,112950672
1974;8595,62;0,05623;0,056227298
1975;8828,38;0,02708;0,027078908
1976;9505,9;0,07674;0,076743412
1977;9740,81;0,02471;0,024712021
1978;9985,49;0,02512;0,025119061
1979;10411,15;0,04263;0,042627853
1980;11106,81;0,06682;0,066818747
1981;10387,23;-0,06479;-0,064787279
1982;10231,02;-0,01504;-0,015038658
1983;9704,89;-0,05142;-0,05142498
1984;10002,19;0,03063;0,030634041
1985;10556,76;0,05544;0,055444858
1986;11114,54;0,05284;0,052836287
1987;11279,62;0,01485;0,014852616
1988;11058,12;-0,01964;-0,019637186
1989;11197,01;0,01256;0,012560001
1990;10517,67;-0,06067;-0,060671554
1991;10490,49;-0,00258;-0,002584223
1992;10264,75;-0,02152;-0,021518537
1993;10566,23;0,02937;0,029370418
1994;10949,53;0,03628;0,036275947
1995;11250,57;0,02749;0,027493418
1996;11317,68;0,00596;0,005965031
1997;11520,33;0,01791;0,017905613
1998;11383,89;-0,01184;-0,011843411
1999;11269,01;-0,01009;-0,010091454
2000;11597,14;0,02912;0,029117908
2001;11598,69;0,00013;0,000133654
2002;11796,97;0,01709;0,017095034
2003;11782,47;-0,00123;-0,001229129
2004;12312,33;0,04497;0,044970197
2005;12561,82;0,02026;0,020263427
2006;12917,92;0,02835;0,028347803
2007;13560,54;0,04975;0,049746399
2008;14110,35;0,04054;0,040544846
2009;13957,68;-0,01082;-0,010819717
2010;14868,33;0,06524;0,065243651
2011;15318,31;0,03026;0,030264327
2012;15473,71;0,01015;0,010144722
2013;15800,04;0,02109;0,021089319
2014;15744,35;-0,00352;-0,003524675
2015;15059,24;-0,04351;-0,043514658
2016;14446,41;-0,0407;-0,040694617
2017;14519,85;0,00508;0,005083616
2018;14596,25;0,00526;0,005261762
2019;14736,16;0,00959;0,009585339
2020;14063,97;-0,04562;-0,045615004
2021;14615,05;0,03918;0,039183815
2022;14927,63;0,02139;0,021387542
2023;14992,3;0,00433;0,004332235
2024;15681,27;0,04595;0,045954924
