"SK_SUBCATEGORIA_TARIFARIA";"ID_SUBCATEGORIATARIFARIA";"ID_CATEGORIATARIFARIA";"NM_SUBCATEGORIATARIFARIA";"DS_SUBCATEGORIATARIFARIA";"DT_INICIO_VIGENCIA";"DT_FIM_VIGENCIA"
1;1;1;INTERMEDIARIA;RESIDENCIAL INTERMEDIÁRIA                                                                          ;1972-01-01;9999-12-31
2;2;1;NORMAL;RESIDENCIAL NORMAL                                                                                  ;1972-01-01;9999-12-31
3;3;1;VERANEIO;RESIDENCIAL VERANEIO                                                                                ;1972-01-01;9999-12-31
4;7;1;SOCIAL;RESIDENCIAL SOCIAL                                                                                  ;1972-01-01;9999-12-31
5;1;2;COMERCIAL;COMERCIAL                                                                                           ;1972-01-01;9999-12-31
6;2;2;PEQUENOS COMERCIOS;PEQUENOS COMERCIOS                                                                                  ;1972-01-01;9999-12-31
7;3;2;ADUTORAS AGUA BRUTA;ADUTORAS AGUA BRUTA                                                                                 ;1972-01-01;9999-12-31
8;4;2;FILANTROPICA;FILANTROPICA                                                                                        ;1972-01-01;9999-12-31
9;5;2;D.R.TRATADA;DERIVAÇAO RURAL TRATADA                                                                            ;1972-01-01;9999-12-31
10;6;2;D.R.BRUTA;DERIVAÇÃO RUAL BRUTA                                                                              ;1972-01-01;9999-12-31
11;1;3;CONSTRUCAO;CONSTRUCAO                                                                                          ;1972-01-01;9999-12-31
12;2;3;INDUSTRIAL;INDUSTRIAL                                                                                          ;1972-01-01;9999-12-31
13;1;4;PUBLICO;PUBLICA                                                                                             ;1972-01-01;9999-12-31
14;2;5;MISTA;MISTA                                                                                               ;1972-01-01;9999-12-31
15;2;4;CTC DEMANDA;CONTRATO DEMANDA                                                                                    ;1972-01-01;9999-12-31
16;9;11;MATRÍCULA EMBASA;MATRICULAS EMBASA                                                                                   ;1972-01-01;9999-12-31
17;9;12;RESPONSABILIDADE PARTICULAR;PARTICULAR                                                                                          ;1972-01-01;9999-12-31
18;9;9;RESPONSABILIDADE PUBLICA;PUBLICA                                                                                             ;1972-01-01;9999-12-31
19;1;13;AGUA TRATADA;CONTRAT.ESP.AGUA TRATADA                                                                            ;1972-01-01;9999-12-31
20;2;13;AGUA BRUTA;CONTRAT.ESP.AGUA BRUTA                                                                              ;1972-01-01;9999-12-31
21;99;5;MISTA;MISTA                                                                                               ;1972-01-01;9999-12-31
22;99;11;MATRÍCULA EMBASA;MATRICULAS EMBASA                                                                                   ;1972-01-01;9999-12-31
23;0;9;RESPONSABILIDADE PUBLICA;PUBLICA                                                                                             ;1972-01-01;9999-12-31
24;0;8;GRANDE CONSUMIDOR;GRANDE CONSUMIDOR                                                                                   ;1972-01-01;9999-12-31
25;0;10;MED.INDIVIDUALIZADA;MED.INDIVIDUALIZADA                                                                                 ;1972-01-01;9999-12-31
-1;-1;-1;Não Informado;Não Informado                                                                                      ;1972-01-01;9999-12-31
-3;-3;-3;Não Identificado;Não Identificado                                                                                   ;1972-01-01;9999-12-31
29;0;4; ;                                                                                                    ;1972-01-01;9999-12-31
28;0;3; ;                                                                                                    ;1972-01-01;9999-12-31
27;0;2; ;                                                                                                    ;1972-01-01;9999-12-31
26;0;1; ;                                                                                                    ;1972-01-01;9999-12-31
30;0;20;SERVICO SEM MATRICULA ;SERVICO SEM MATRICULA                                                                               ;2023-01-01;9999-12-31
31;5;1;D. R. TRATADA;D. R. TRATADA                                                                                       ;1972-01-01;9999-12-31
32;6;1;D.R.BRUTA;D.R.BRUTA                                                                                           ;1972-01-01;9999-12-31
