Connections;Neighborhood
15836;ITAPUA
13097;FAZ G DO RETIRO
13083;PARIPE
12174;SAO CRISTOVAO
11713;SAO CAETANO
11694;PERNAMBUES
10402;PERIPERI
10271;LIBERDADE
10103;BEIRU TAN NEVES
9584;BOCA DO RIO
9212;VALERIA
9089;BROTAS
8111;URUGUAI
8048;PIRAJA
7702;AGUAS CLARAS
7638;MUSSURUNGA
7289;PLATAFORMA
7054;CASTELO BRANCO
6602;COSME DE FARIAS
6518;STELLA MARIS
6462;FEDERACAO
6408;LOBATO
5685;SUSSUARANA
5584;MATA ESCURA
5364;SAO MARCOS
4984;JD MARGARIDAS
4960;ENG V DE BROTAS
4935;PERO VAZ
4929;FAZENDA COUTOS
4859;V RUY BAR J CRU
4802;NORDT AMARALINA
4769;IAPI
4726;CABULA
4708;MASSARANDUBA
4691;SANTA CRUZ
4608;CAIXA DAGUA
4601;PAU DA LIMA
4562;SAO GONCALO
4529;NOVA ESPERANCA
4528;PAU MIUDO
4509;BARREIRAS
4429;ENG V FEDERACAO
4337;FAZ GRANDE II
4326;S J DO CABRITO
4300;BAIRRO DA PAZ
4296;NOVO HORIZONTE
4282;SETE DE ABRIL
4135;RIO SENA
3955;RIBEIRA
3948;ITACARANHA
3874;SAO RAFAEL
3771;IMBUI
3768;PITUACU
3669;PITUBA
3664;CHAP R VERMELHO
3650;CAJAZEIRAS XI
3595;CIDADE NOVA
3548;COUTOS
3499;CAPELINHA
3491;MARECHAL RONDON
3429;BOA V S CAETANO
3335;ALTO  TEREZINHA
3331;NOVA BRASILIA
3143;PIATA
3073;CAJAZEIRAS VIII
2979;ARENOSO
2875;NARANDIBA
2775;ALTO DO CABRITO
2769;CURUZU
2745;BOM JUA
2702;MORADAS D LAGOA
2684;BONFIM
2609;CABULA VI
2570;LUIZ ANSELMO
2524;FAZ GRANDE I
2474;DOM AVELAR
2468;CAM DE AREIA
2451;COSTA AZUL
2398;NOVA SUSSUARANA
2282;GARCIA
2233;ENGOMADEIRA
2203;VILA CANARIA
2172;FAZ GRANDE III
2137;JD N ESPERANCA
2116;SAO TOME
2113;CAJAZEIRAS X
2092;RIO VERMELHO
2076;CANABRAVA
2049;FAZ GRANDE IV
2044;BOCA DA MATA
2031;N CONSTITUINTE
1997;JD SANTO INACIO
1977;JAGUARIPE I
1962;PRAIA GRANDE
1947;ALT COQUEIRINHO
1899;CALABETAO
1814;ARRAIAL RETIRO
1808;PATAMARES
1797;CAMPINAS PIRAJA
1762;SARAMANDAIA
1696;ACUPE
1689;CANDEAL
1679;VILA LAURA
1674;MATATU
1648;MANGUEIRA
1638;BARBALHO
1625;CAJAZEIRAS VI
1625;STIEP
1549;NAZARE
1537;ILHA AMARELA
1513;JD CAJAZEIRAS
1500;ONDINA
1447;MONTE SERRAT
1436;SABOEIRO
1349;VALE DOS LAGOS
1337;ITINGA
1327;CAJAZEIRAS V
1311;DORON
1296;PALESTINA
1267;MACAUBAS
1217;LAPINHA
1206;CALCADA
1193;CALABAR
1159;SANTA MONICA
1153;V DAS PEDRINHAS
1147;RESGATE
1135;BARRA
1054;JARDIM ARMACAO
1001;TROBOGY
936;SANTO ANTONIO
926;VISTA ALEGRE
898;ROMA
870;ALTO DAS POMBAS
868;CASSANGE
868;ILHA BOM JESUS
858;TORORO
793;SAUDE
791;SANTA LUZIA
780;BARRIS
779;CAJAZEIRAS II
741;SANTO AGOSTINHO
725;GRACA
695;CAJAZEIRAS IV
678;ITAIGARA
668;BOA VIAGEM
614;NOVO MAROTINHO
598;C DE PERIPERI
576;CAJAZEIRAS VII
576;CENTRO
558;CAM DAS ARVORES
521;N BRAS VALERIA
487;AMARALINA
469;BX DE QUINTAS
410;MARES
404;RETIRO
395;ILHA PARAMANA
388;"2 DE JULHO  LGO"
379;M DE PERIPERI
336;G R PRES VARGAS
328;BOA V DE BROTAS
327;CENT HISTORICO
299;SANTANA
239;CANELA
237;HORTO FLORESTAL
179;COMERCIO
156;BOTELHO
150;ORATORIO
143;VITORIA
113;CHAME CHAME
66;MARTELO
60;MARACANAN
54;ITAMOABO
48;CAJAZEIRAS
23;PONTA N SENHORA
18;VALE DO LAGOS
11;DAS NEVES
10;SAO BARTOLOMEU
3;CAB
3;ILHA DE S JOAO
2;AEROPORTO
2;PA DO FLAMENGO
1;JD CRUZEIRO
1;LT SILVIO LEAL
1;
