Mes_Referencia;Previsao_Consumo
2016-01-01;187559.48
2016-02-01;186078.25
2016-03-01;181962.0
2016-04-01;173836.6
2016-05-01;173566.67
2016-06-01;173566.67
2016-07-01;173566.67
2016-08-01;173566.67
2016-09-01;179687.02
2016-10-01;183497.14
2016-11-01;185474.9
2016-12-01;186400.4
2017-01-01;186374.1
2017-02-01;184725.03
2017-03-01;181362.6
2017-04-01;178064.0
2017-05-01;174295.73
2017-06-01;173566.67
2017-07-01;173566.67
2017-08-01;173566.67
2017-09-01;176965.86
2017-10-01;181614.58
2017-11-01;184606.45
2017-12-01;186026.27
2018-01-01;186396.36
2018-02-01;185589.89
2018-03-01;183041.83
2018-04-01;179699.98
2018-05-01;176193.1
2018-06-01;173566.67
2018-07-01;173566.67
2018-08-01;173566.67
2018-09-01;174466.73
2018-10-01;179338.88
2018-11-01;183218.53
2018-12-01;185440.9
2019-01-01;186305.12
2019-02-01;186222.36
2019-03-01;184634.42
2019-04-01;181487.25
2019-05-01;178120.8
2019-06-01;174448.12
2019-07-01;173566.67
2019-08-01;173566.67
2019-09-01;173566.67
2019-10-01;176827.64
2019-11-01;181484.36
2019-12-01;184528.81
2020-01-01;185997.22
2020-02-01;186391.89
2020-03-01;185630.0
2020-04-01;183139.28
2020-05-01;179805.69
2020-06-01;176309.69
2020-07-01;173566.67
2020-08-01;173566.67
2020-09-01;173566.67
2020-10-01;174308.88
2020-11-01;179182.66
2020-12-01;183117.72
2021-01-01;185394.8
2021-02-01;186295.81
2021-03-01;186255.27
2021-04-01;184728.06
2021-05-01;181602.69
2021-06-01;178241.31
2021-07-01;174574.9
2021-08-01;173566.67
2021-09-01;173566.67
2021-10-01;173566.67
2021-11-01;176654.77
2021-12-01;181339.33
2022-01-01;184445.03
2022-02-01;185963.84
2022-03-01;186388.4
2022-04-01;185678.95
2022-05-01;183252.25
2022-06-01;179925.11
2022-07-01;176442.06
2022-08-01;173566.67
2022-09-01;173566.67
2022-10-01;173566.67
2022-11-01;174129.34
2022-12-01;179003.67
2023-01-01;183001.11
2023-02-01;185340.9
2023-03-01;186284.66
2023-04-01;186291.47
2023-05-01;184832.9
2023-06-01;181733.98
2023-07-01;178377.9
2023-08-01;174718.66
2023-09-01;173566.67
2023-10-01;173566.67
2023-11-01;173566.67
2023-12-01;176457.61
2024-01-01;181172.0
2024-02-01;184347.47
2024-03-01;185924.6
2024-04-01;186383.98
2024-05-01;185733.84
2024-06-01;183380.62
2024-07-01;180061.86
2024-08-01;176592.98
2024-09-01;173566.67
2024-10-01;173566.67
2024-11-01;173566.67
2024-12-01;173924.4
2025-01-01;178797.11
2025-02-01;182865.33
2025-03-01;185277.3
2025-04-01;186271.05
2025-05-01;186331.23
2025-06-01;184950.52
2025-07-01;181884.0
2025-08-01;178533.42
2025-09-01;174882.45
2025-10-01;173566.67
2025-11-01;173566.67
2025-12-01;173566.67
