Date,Projected_Consumption
2016-01,193691.58607965888
2016-02,197998.03002263355
2016-03,199236.3371093277
2016-04,179572.3996374977
2016-05,186151.3725624527
2016-06,177977.7107177245
2016-07,164729.51207461374
2016-08,183054.31443166937
2016-09,179061.97953850662
2016-10,176404.50481846777
2016-11,187421.14218230077
2016-12,170483.16174576487
2017-01,203885.7669485299
2017-02,205963.52109050698
2017-03,194221.85675037958
2017-04,189107.1985004457
2017-05,191651.16436570132
2017-06,170053.94912910418
2017-07,163350.73766699157
2017-08,179246.6619622207
2017-09,176759.82717100196
2017-10,170695.65228491186
2017-11,187060.04634758495
2017-12,177703.44754569654
2018-01,194067.81834459817
2018-02,191851.7895524842
2018-03,197543.76283997315
2018-04,175122.7349456026
2018-05,179260.94233624448
2018-06,175197.4523401442
2018-07,162245.73280375678
2018-08,166117.62433532858
2018-09,174357.4712901674
2018-10,166153.32278516836
2018-11,179451.86733511914
2018-12,185779.9701420492
2019-01,188744.89334056992
2019-02,185148.5422520317
2019-03,192993.8194503126
2019-04,192458.64556681138
2019-05,181123.60030301768
2019-06,176947.94111814778
2019-07,164424.85798507385
2019-08,183945.67939186568
2019-09,171844.425473682
2019-10,170083.40558829607
2019-11,195196.4846702548
2019-12,187715.713050725
2020-01,196014.9784748883
2020-02,204166.4599014733
2020-03,201213.39315348107
2020-04,186448.35698732446
2020-05,186349.10681376798
2020-06,177490.83224432103
2020-07,168398.15790317484
2020-08,177580.11657898928
2020-09,169776.64264223055
2020-10,176000.43438744708
2020-11,192614.55189144882
2020-12,187169.20624813827
2021-01,196334.41474434137
2021-02,197594.12926699358
2021-03,194677.41308111814
2021-04,185739.7145530864
2021-05,192427.38638588417
2021-06,179477.86375586723
2021-07,187269.4985697329
2021-08,185057.6916601292
2021-09,180185.7443145938
2021-10,189561.50708853532
2021-11,201835.44954278113
2021-12,193347.03066623784
2022-01,217019.61146359175
2022-02,194512.26678274712
2022-03,201936.40275339253
2022-04,202369.12554183832
2022-05,183725.47751430358
2022-06,182648.44382628895
2022-07,177692.37711967793
2022-08,178569.57482021453
2022-09,179573.82898439863
2022-10,190375.6004373153
2022-11,194123.34732426231
2022-12,194712.57593546208
2023-01,192716.4392116169
2023-02,189570.85356001288
2023-03,193964.42777232837
2023-04,199342.9001222416
2023-05,187685.08712269572
2023-06,181861.98015200172
2023-07,185347.25293635004
2023-08,174721.05963667243
2023-09,179007.9951766281
2023-10,189995.14222732311
2023-11,194405.69060665823
2023-12,194625.10311651765
2024-01,193571.4395263187
2024-02,190002.1425965828
2024-03,194209.24516367374
2024-04,199113.89607957745
2024-05,187532.96974489288
2024-06,181706.1221498983
2024-07,184922.11870546095
2024-08,174903.7195337106
2024-09,178945.6414821608
2024-10,189929.79957871544
2024-11,194482.2672757036
2024-12,194647.61404609284
2025-01,193686.5690818531
2025-02,190070.39860448716
2025-03,194248.792256811
2025-04,199077.63195660466
2025-05,187514.34540022962
2025-06,181687.66627422674
2025-07,184863.41741061534
2025-08,174929.24510895493
2025-09,178941.51900966465
2025-10,189922.9403660626
2025-11,194495.37778071043
2025-12,194653.90964279388
