CD_SETOR;N_CONSUMIDORES;N_MUDANCAS;PERFIL_PREDOMINANTE_INICIAL;PERFIL_PREDOMINANTE_FINAL;PCT_MUDANCAS
S001;920;110;PERDULARIO;PERDULARIO;11.956521739130435
S068;235;61;AMBIENTALISTA;PERDULARIO;25.957446808510635
S041;284;56;AMBIENTALISTA;PERDULARIO;19.718309859154928
S057;307;56;AMBIENTALISTA;AMBIENTALISTA;18.241042345276874
S054;296;54;AMBIENTALISTA;AMBIENTALISTA;18.243243243243242
S095;240;54;AMBIENTALISTA;PERDULARIO;22.5
S035;226;50;PERDULARIO;PERDULARIO;22.123893805309734
S002;285;49;AMBIENTALISTA;PERDULARIO;17.192982456140353
S032;310;47;AMBIENTALISTA;AMBIENTALISTA;15.161290322580644
S019;274;45;AMBIENTALISTA;AMBIENTALISTA;16.423357664233578
S099;240;42;AMBIENTALISTA;AMBIENTALISTA;17.5
S083;204;41;AMBIENTALISTA;AMBIENTALISTA;20.098039215686274
S101;187;41;AMBIENTALISTA;PERDULARIO;21.92513368983957
S005;224;39;AMBIENTALISTA;PERDULARIO;17.410714285714285
S055;249;39;AMBIENTALISTA;AMBIENTALISTA;15.66265060240964
S004;200;38;AMBIENTALISTA;PERDULARIO;19.0
S007;284;38;AMBIENTALISTA;AMBIENTALISTA;13.380281690140844
S096;287;37;AMBIENTALISTA;AMBIENTALISTA;12.89198606271777
S098;210;36;AMBIENTALISTA;AMBIENTALISTA;17.142857142857142
S031;213;35;PERDULARIO;PERDULARIO;16.431924882629108
S030;210;34;AMBIENTALISTA;AMBIENTALISTA;16.19047619047619
S011;220;34;PERDULARIO;PERDULARIO;15.454545454545453
S016;211;33;AMBIENTALISTA;PERDULARIO;15.639810426540285
S020;198;33;AMBIENTALISTA;PERDULARIO;16.666666666666664
S094;177;32;AMBIENTALISTA;PERDULARIO;18.07909604519774
S069;184;32;PERDULARIO;PERDULARIO;17.391304347826086
S074;206;32;AMBIENTALISTA;AMBIENTALISTA;15.53398058252427
S014;243;32;AMBIENTALISTA;AMBIENTALISTA;13.168724279835391
S026;196;32;AMBIENTALISTA;AMBIENTALISTA;16.3265306122449
S024;234;31;AMBIENTALISTA;AMBIENTALISTA;13.247863247863249
S051;198;31;AMBIENTALISTA;AMBIENTALISTA;15.656565656565657
S006;176;29;PERDULARIO;PERDULARIO;16.477272727272727
S003;177;29;AMBIENTALISTA;PERDULARIO;16.38418079096045
S029;176;29;AMBIENTALISTA;AMBIENTALISTA;16.477272727272727
S059;166;26;AMBIENTALISTA;AMBIENTALISTA;15.66265060240964
S038;146;26;AMBIENTALISTA;PERDULARIO;17.80821917808219
S015;205;26;AMBIENTALISTA;AMBIENTALISTA;12.682926829268293
S082;149;26;AMBIENTALISTA;AMBIENTALISTA;17.449664429530202
S086;112;26;AMBIENTALISTA;AMBIENTALISTA;23.214285714285715
S056;119;25;AMBIENTALISTA;AMBIENTALISTA;21.008403361344538
S013;137;25;PERDULARIO;PERDULARIO;18.248175182481752
S010;140;24;AMBIENTALISTA;PERDULARIO;17.142857142857142
S071;119;24;PERDULARIO;PERDULARIO;20.168067226890756
S070;195;24;PERDULARIO;PERDULARIO;12.307692307692308
S084;147;24;PERDULARIO;PERDULARIO;16.3265306122449
S037;162;24;AMBIENTALISTA;AMBIENTALISTA;14.814814814814813
S076;137;23;PERDULARIO;PERDULARIO;16.78832116788321
S047;167;23;AMBIENTALISTA;PERDULARIO;13.77245508982036
S067;166;23;AMBIENTALISTA;AMBIENTALISTA;13.855421686746988
S087;167;22;AMBIENTALISTA;AMBIENTALISTA;13.17365269461078
S043;135;22;AMBIENTALISTA;PERDULARIO;16.296296296296298
S077;158;21;AMBIENTALISTA;PERDULARIO;13.291139240506327
S103;104;21;PERDULARIO;PERDULARIO;20.192307692307693
S027;129;21;AMBIENTALISTA;PERDULARIO;16.27906976744186
S088;98;21;AMBIENTALISTA;PERDULARIO;21.428571428571427
S050;129;21;AMBIENTALISTA;AMBIENTALISTA;16.27906976744186
S042;192;21;AMBIENTALISTA;AMBIENTALISTA;10.9375
S036;225;20;PERDULARIO;PERDULARIO;8.88888888888889
S073;127;19;AMBIENTALISTA;PERDULARIO;14.960629921259844
S028;174;19;AMBIENTALISTA;AMBIENTALISTA;10.919540229885058
S061;150;19;AMBIENTALISTA;AMBIENTALISTA;12.666666666666668
S065;82;19;AMBIENTALISTA;PERDULARIO;23.170731707317074
S039;187;19;AMBIENTALISTA;AMBIENTALISTA;10.16042780748663
S033;178;19;AMBIENTALISTA;AMBIENTALISTA;10.674157303370785
S025;146;18;PERDULARIO;PERDULARIO;12.32876712328767
S009;91;18;PERDULARIO;PERDULARIO;19.78021978021978
S080;96;17;AMBIENTALISTA;AMBIENTALISTA;17.708333333333336
S034;162;17;AMBIENTALISTA;AMBIENTALISTA;10.493827160493826
S023;135;17;AMBIENTALISTA;AMBIENTALISTA;12.592592592592592
S053;123;16;AMBIENTALISTA;AMBIENTALISTA;13.008130081300814
S048;75;16;PERDULARIO;PERDULARIO;21.333333333333336
S046;111;16;AMBIENTALISTA;AMBIENTALISTA;14.414414414414415
S102;109;15;PERDULARIO;PERDULARIO;13.761467889908257
S092;156;15;AMBIENTALISTA;AMBIENTALISTA;9.615384615384617
S018;80;15;AMBIENTALISTA;PERDULARIO;18.75
