SK_MATRICULA,CD_SETOR_x,TP_COMPORTAMENTO_x,NN_MEDIA_CONSUMO_x,NN_CONSUMO_DIARIO_x,NN_MORADORES_ANALISE_x,NM_CENARIO,TP_NOVO_COMPORTAMENTO,NN_NOVA_MEDIA_CONSUMO,NN_NOVO_CONSUMO_DIARIO,NN_NOVO_MORADORES_ANALISE,MUDOU_COMPORTAMENTO,TIPO_MUDANCA,NM_LOCALIDADE,NM_CATEGORIATARIFARIA,NM_SITUACAO_IMOVEL,NN_MORADORES,NN_MORADORES_ANALISE_y,ST_PISCINA,LAT_GEO,LONG_GEO,X,Y,CD_SETOR_ORIGINAL,CD_SETOR_y,NN_MEDIA_CONSUMO_y,NN_CONSUMO_DIARIO_y,TP_COMPORTAMENTO_y,VL_RENDA_MEDIA_RESPONSAVEL,NN_MEDIA_MORADORES_IBGE
4261C1F3F32800A552C615B7B7DAEE87CE1590D7029C4AB7D82D75954C300C02,S068,AMBIENTALISTA,7.833333333333333,85.61020036429872,3.0,CVIII,MODERADO,9.805962830993938,107.16899268845832,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948316931508934,-38.37200879469912,568115.5211068144,8568496.055994628,292740805090248,S068,7.833333333333333,85.61020036429872,AMBIENTALISTA,4839.78,2.6
4EB18EBD2FC391C4F21CC8BF3311FF60E7D0AC5828C3EF7A524FDAB0DCEE12D9,S068,AMBIENTALISTA,7.0,76.50273224043717,3.0,CVIII,MODERADO,10.895514256659926,119.07665854273144,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.947364528058642,-38.37104208468464,568220.6388999046,8568601.126295445,292740805090248,S068,7.0,76.50273224043717,AMBIENTALISTA,4839.78,2.6
4EF03995EA864C2E4CDF5B16D1DAEB487761F3424C736D578D4E0555CCDF79E3,S068,MODERADO,9.166666666666666,100.18214936247722,3.0,CVIII,PERDULARIO,11.984945832867586,130.98301456685886,3.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948452324164958,-38.37083552587477,568242.7483442695,8568480.76981409,292740805090248,S068,9.166666666666666,100.18214936247722,MODERADO,4839.78,2.6
8DB45AB8A9B386B77D8D6CECE4F8AD622F1275A0922936C164F4EFDA6F60EB97,S068,AMBIENTALISTA,8.75,95.62841530054644,3.0,CVIII,MODERADO,10.895514256659926,119.07665854273144,3.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.94877107887702,-38.37009685281944,568322.7850911568,8568445.320867954,292740805090248,S068,8.75,95.62841530054644,AMBIENTALISTA,4839.78,2.6
BB9CCC11A810E6ED49AD77949D5C781ED322A15203E9E6FF6016A358F8318FCD,S068,AMBIENTALISTA,6.25,68.30601092896175,3.0,CVIII,PERDULARIO,13.07461710799191,142.89199025127772,3.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.948799323522952,-38.37133794851929,568188.1563980217,8568442.528567571,292740805090248,S068,6.25,68.30601092896175,AMBIENTALISTA,4839.78,2.6
F2DC63CBEC26F62346BD34C4B66BA9A4A9F1D72F3AF08448EEE0D5673F09D0B3,S068,MODERADO,11.083333333333334,121.12932604735884,3.0,CVIII,PERDULARIO,12.07586163446475,131.97662988486067,3.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,0,3,0,-12.947094859296394,-38.37024443266177,568307.2337382294,8568630.736511923,292740805090248,S068,11.083333333333334,121.12932604735884,MODERADO,4839.78,2.6
0B399E22A129D2AE084747C23B8F25B6DF96528FC3EAFB2181559C22C4BCED98,S068,MODERADO,3.4166666666666665,112.02185792349728,1.0,CVIII,PERDULARIO,4.35820570266397,142.89199025127772,1.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,1,1,0,-12.946965733235103,-38.370347510240016,568296.0880531,8568645.044332702,292740805090248,S068,3.4166666666666665,112.02185792349728,MODERADO,4839.78,2.6
4C228F0F21C2DDD1EE3963029C67A2DBC2052B1C5E2532CB5A8C0A91322653B6,S068,AMBIENTALISTA,3.0,98.36065573770492,1.0,CVIII,MODERADO,3.2686542769979776,107.16899268845827,1.0,True,AMBIENTALISTA → MODERADO,SALVADOR UMB,RESIDENCIAL,HABITADO,1,1,0,-12.947143879805765,-38.37098639414722,568226.7396823423,8568625.51332902,292740805090248,S068,3.0,98.36065573770492,AMBIENTALISTA,4839.78,2.6
83532B0318332D079D1109F0D0F725D5EE88B545CC02C08D1518293C1975C91A,S068,AMBIENTALISTA,2.4166666666666665,79.23497267759562,1.0,CVIII,PERDULARIO,4.35816212104276,142.89056134566428,1.0,True,AMBIENTALISTA → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,1,1,0,-12.948872821938954,-38.37120656434414,568202.3875791958,8568434.365199294,292740805090248,S068,2.4166666666666665,79.23497267759562,AMBIENTALISTA,4839.78,2.6
B8D1814741B825F9C6EA4E1811C8F3659CA150529634E722E62575B9D4BAC605,S068,MODERADO,3.583333333333333,117.4863387978142,1.0,CVIII,PERDULARIO,4.35816212104276,142.89056134566428,1.0,True,MODERADO → PERDULARIO,SALVADOR UMB,RESIDENCIAL,HABITADO,1,1,0,-12.94879622676984,-38.3706762028906,568259.9364376217,8568442.69446257,292740805090248,S068,3.583333333333333,117.4863387978142,MODERADO,4839.78,2.6
