CD_SETOR;TP_COMPORTAMENTO;TP_NOVO_COMPORTAMENTO;COUNT
S001;AMBIENTALISTA;MODERADO;25
S001;AMBIENTALISTA;PERDULARIO;34
S001;MODERADO;PERDULARIO;48
S001;PERDULARIO;AMBIENTALISTA;3
S002;AMBIENTALISTA;MODERADO;17
S002;AMBIENTALISTA;PERDULARIO;11
S002;MODERADO;AMBIENTALISTA;1
S002;MODERADO;PERDULARIO;18
S002;PERDULARIO;AMBIENTALISTA;1
S002;PERDULARIO;MODERADO;1
S003;AMBIENTALISTA;MODERADO;14
S003;AMBIENTALISTA;PERDULARIO;8
S003;MODERADO;PERDULARIO;7
S004;AMBIENTALISTA;MODERADO;13
S004;AMBIENTALISTA;PERDULARIO;11
S004;MODERADO;PERDULARIO;13
S004;PERDULARIO;AMBIENTALISTA;1
S005;AMBIENTALISTA;MODERADO;18
S005;AMBIENTALISTA;PERDULARIO;7
S005;MODERADO;PERDULARIO;14
S006;AMBIENTALISTA;MODERADO;11
S006;AMBIENTALISTA;PERDULARIO;8
S006;MODERADO;PERDULARIO;9
S006;PERDULARIO;AMBIENTALISTA;1
S007;AMBIENTALISTA;MODERADO;19
S007;AMBIENTALISTA;PERDULARIO;9
S007;MODERADO;PERDULARIO;8
S007;PERDULARIO;AMBIENTALISTA;2
S008;AMBIENTALISTA;MODERADO;6
S008;AMBIENTALISTA;PERDULARIO;5
S008;MODERADO;PERDULARIO;4
S009;AMBIENTALISTA;MODERADO;8
S009;AMBIENTALISTA;PERDULARIO;5
S009;MODERADO;PERDULARIO;4
S009;PERDULARIO;AMBIENTALISTA;1
S010;AMBIENTALISTA;MODERADO;9
S010;AMBIENTALISTA;PERDULARIO;5
S010;MODERADO;PERDULARIO;10
S011;AMBIENTALISTA;MODERADO;11
S011;AMBIENTALISTA;PERDULARIO;10
S011;MODERADO;PERDULARIO;12
S011;PERDULARIO;AMBIENTALISTA;1
S012;AMBIENTALISTA;MODERADO;2
S012;AMBIENTALISTA;PERDULARIO;2
S012;MODERADO;PERDULARIO;6
S012;PERDULARIO;AMBIENTALISTA;1
S013;AMBIENTALISTA;MODERADO;4
S013;AMBIENTALISTA;PERDULARIO;10
S013;MODERADO;PERDULARIO;10
S013;PERDULARIO;AMBIENTALISTA;1
S014;AMBIENTALISTA;MODERADO;15
S014;AMBIENTALISTA;PERDULARIO;8
S014;MODERADO;PERDULARIO;9
S015;AMBIENTALISTA;MODERADO;11
S015;AMBIENTALISTA;PERDULARIO;7
S015;MODERADO;AMBIENTALISTA;1
S015;MODERADO;PERDULARIO;7
S016;AMBIENTALISTA;MODERADO;16
S016;AMBIENTALISTA;PERDULARIO;7
S016;MODERADO;PERDULARIO;9
S016;PERDULARIO;AMBIENTALISTA;1
S017;AMBIENTALISTA;MODERADO;1
S018;AMBIENTALISTA;MODERADO;7
S018;AMBIENTALISTA;PERDULARIO;2
S018;MODERADO;PERDULARIO;5
S018;PERDULARIO;AMBIENTALISTA;1
S019;AMBIENTALISTA;MODERADO;19
S019;AMBIENTALISTA;PERDULARIO;10
S019;MODERADO;PERDULARIO;16
S020;AMBIENTALISTA;MODERADO;13
S020;AMBIENTALISTA;PERDULARIO;8
S020;MODERADO;PERDULARIO;10
S020;PERDULARIO;AMBIENTALISTA;2
S021;AMBIENTALISTA;MODERADO;2
S021;MODERADO;PERDULARIO;2
S022;AMBIENTALISTA;MODERADO;9
S022;AMBIENTALISTA;PERDULARIO;4
S022;MODERADO;PERDULARIO;1
S022;PERDULARIO;MODERADO;1
S023;AMBIENTALISTA;MODERADO;2
S023;AMBIENTALISTA;PERDULARIO;6
S023;MODERADO;AMBIENTALISTA;1
S023;MODERADO;PERDULARIO;8
S024;AMBIENTALISTA;MODERADO;15
S024;AMBIENTALISTA;PERDULARIO;7
S024;MODERADO;PERDULARIO;8
S024;PERDULARIO;AMBIENTALISTA;1
S025;AMBIENTALISTA;MODERADO;8
S025;AMBIENTALISTA;PERDULARIO;3
S025;MODERADO;PERDULARIO;6
S025;PERDULARIO;AMBIENTALISTA;1
S026;AMBIENTALISTA;MODERADO;12
S026;AMBIENTALISTA;PERDULARIO;6
S026;MODERADO;AMBIENTALISTA;1
S026;MODERADO;PERDULARIO;12
S026;PERDULARIO;AMBIENTALISTA;1
S027;AMBIENTALISTA;MODERADO;5
S027;AMBIENTALISTA;PERDULARIO;11
S027;MODERADO;PERDULARIO;5
S028;AMBIENTALISTA;MODERADO;12
S028;AMBIENTALISTA;PERDULARIO;1
S028;MODERADO;PERDULARIO;6
S029;AMBIENTALISTA;MODERADO;18
S029;AMBIENTALISTA;PERDULARIO;4
S029;MODERADO;PERDULARIO;7
S030;AMBIENTALISTA;MODERADO;12
S030;AMBIENTALISTA;PERDULARIO;8
S030;MODERADO;PERDULARIO;13
S030;PERDULARIO;AMBIENTALISTA;1
S031;AMBIENTALISTA;MODERADO;15
S031;AMBIENTALISTA;PERDULARIO;6
S031;MODERADO;PERDULARIO;14
S032;AMBIENTALISTA;MODERADO;11
S032;AMBIENTALISTA;PERDULARIO;18
S032;MODERADO;AMBIENTALISTA;1
S032;MODERADO;PERDULARIO;16
S032;PERDULARIO;AMBIENTALISTA;1
S033;AMBIENTALISTA;MODERADO;7
S033;AMBIENTALISTA;PERDULARIO;3
S033;MODERADO;AMBIENTALISTA;1
S033;MODERADO;PERDULARIO;8
S034;AMBIENTALISTA;MODERADO;9
S034;AMBIENTALISTA;PERDULARIO;5
S034;MODERADO;PERDULARIO;2
S034;PERDULARIO;AMBIENTALISTA;1
S035;AMBIENTALISTA;MODERADO;9
S035;AMBIENTALISTA;PERDULARIO;21
S035;MODERADO;AMBIENTALISTA;1
S035;MODERADO;PERDULARIO;19
S036;AMBIENTALISTA;MODERADO;2
S036;AMBIENTALISTA;PERDULARIO;5
S036;MODERADO;PERDULARIO;13
S037;AMBIENTALISTA;MODERADO;10
S037;AMBIENTALISTA;PERDULARIO;3
S037;MODERADO;AMBIENTALISTA;1
S037;MODERADO;PERDULARIO;8
S037;PERDULARIO;AMBIENTALISTA;1
S037;PERDULARIO;MODERADO;1
S038;AMBIENTALISTA;MODERADO;8
S038;AMBIENTALISTA;PERDULARIO;4
S038;MODERADO;AMBIENTALISTA;1
S038;MODERADO;PERDULARIO;13
S039;AMBIENTALISTA;MODERADO;8
S039;AMBIENTALISTA;PERDULARIO;6
S039;MODERADO;PERDULARIO;4
S039;PERDULARIO;MODERADO;1
S040;AMBIENTALISTA;MODERADO;7
S040;AMBIENTALISTA;PERDULARIO;1
S040;MODERADO;AMBIENTALISTA;2
S040;MODERADO;PERDULARIO;2
S041;AMBIENTALISTA;MODERADO;18
S041;AMBIENTALISTA;PERDULARIO;15
S041;MODERADO;PERDULARIO;21
S041;PERDULARIO;AMBIENTALISTA;1
S041;PERDULARIO;MODERADO;1
S042;AMBIENTALISTA;MODERADO;11
S042;AMBIENTALISTA;PERDULARIO;6
S042;MODERADO;PERDULARIO;4
S043;AMBIENTALISTA;MODERADO;3
S043;AMBIENTALISTA;PERDULARIO;9
S043;MODERADO;PERDULARIO;10
S044;AMBIENTALISTA;MODERADO;3
S044;AMBIENTALISTA;PERDULARIO;4
S044;MODERADO;PERDULARIO;3
S045;AMBIENTALISTA;MODERADO;7
S045;AMBIENTALISTA;PERDULARIO;3
S045;MODERADO;PERDULARIO;4
S046;AMBIENTALISTA;MODERADO;3
S046;AMBIENTALISTA;PERDULARIO;6
S046;MODERADO;PERDULARIO;6
S046;PERDULARIO;AMBIENTALISTA;1
S047;AMBIENTALISTA;MODERADO;7
S047;AMBIENTALISTA;PERDULARIO;8
S047;MODERADO;PERDULARIO;8
S048;AMBIENTALISTA;MODERADO;3
S048;AMBIENTALISTA;PERDULARIO;4
S048;MODERADO;PERDULARIO;8
S048;PERDULARIO;MODERADO;1
S049;AMBIENTALISTA;MODERADO;6
S049;AMBIENTALISTA;PERDULARIO;6
S049;MODERADO;AMBIENTALISTA;1
S049;MODERADO;PERDULARIO;2
S050;AMBIENTALISTA;MODERADO;5
S050;AMBIENTALISTA;PERDULARIO;6
S050;MODERADO;AMBIENTALISTA;1
S050;MODERADO;PERDULARIO;7
S050;PERDULARIO;AMBIENTALISTA;2
S051;AMBIENTALISTA;MODERADO;14
S051;AMBIENTALISTA;PERDULARIO;9
S051;MODERADO;PERDULARIO;8
S052;AMBIENTALISTA;MODERADO;1
S052;AMBIENTALISTA;PERDULARIO;5
