Mês/Ano,Consumo previsto CI,Consumo previsto CII,Consumo previsto CIII
1/2025,187191.45645526107,184081.26351396638,184133.6461876252
2/2025,184442.46634920104,182666.5008207842,183086.74058724745
3/2025,182681.54289503433,182578.5621749507,181673.7374247475
4/2025,198040.65949225708,185902.28178606153,192794.93369558133
5/2025,179106.1139076608,181028.25802911827,180007.93850334597
6/2025,185180.16775587373,182295.13419280786,184275.06454203537
7/2025,164231.73094551917,177034.1753424288,169965.81994317303
8/2025,173195.57199503374,179102.5267166175,176549.23161849755
9/2025,182762.53536031127,181260.03818189577,183134.01907057964
10/2025,177045.35642281114,179963.1584874506,179249.96496641394
11/2025,182321.6221292509,181781.0673965415,182441.2550137624
12/2025,185488.1408337963,182960.52127722287,184205.01402512632
1/2026,187464.9319136391,184353.02504371654,184403.7004045516
2/2026,184711.92569838424,182936.19546733744,183355.26533806158
3/2026,182948.42964097013,182848.12834843204,181940.19786293295
4/2026,198329.98498369567,186176.70371397454,193077.6415325818
5/2026,179367.7771669065,181295.55930149194,180271.96530950448
6/2026,185450.7048424409,182564.28629505538,184545.32536267128
7/2026,164471.66362594836,177295.6415002412,170215.1758181448
8/2026,173448.6003080629,179367.01461137668,176808.20546193726
9/2026,183029.540431368,181527.67807113143,183402.61289241546
10/2026,177304.00903932637,180228.90371346034,179512.88441882696
11/2026,182587.98305259738,182049.46847812066,182708.83674897964
12/2026,185759.12785050503,183230.64546997834,184475.17250616933
1/2027,187690.0073324115,184578.61434691364,184626.6714422904
2/2027,184933.69578415164,183160.08368699337,183576.97759657566
3/2027,183168.08242613316,183071.91083234566,182160.21115353212
4/2027,198568.1052762198,186404.48257463204,193311.02673638304
5/2027,179583.130924795,181517.47772941922,180489.97567541376
6/2027,185673.36192623753,182787.72799059647,184768.46643912848
7/2027,164669.1327109074,177512.75751971302,170421.11173320588
8/2027,173656.8473436619,179586.6175768905,177022.05714499188
9/2027,183249.29060031846,181749.87518707165,183624.38199767185
10/2027,177516.8849819208,180449.5414861168,179729.98341188647
11/2027,182807.2030759302,182272.2920696003,182929.77288801392
12/2027,185982.1552352269,183454.88721419452,184698.22935522793
1/2028,187874.02062309647,184762.4135297851,184808.72982861268
2/2028,185115.00675751432,183342.49212723385,183758.00685182476
3/2028,183347.66237327587,183254.2328269774,182339.85139580662
4/2028,198762.7835704798,186590.07185824384,193501.59935752262
5/2028,179759.19614714227,181698.2757412109,180667.97840096112
6/2028,185855.39807619838,182969.77136933026,184950.66384278293
7/2028,164830.57608988628,177689.62926097657,170589.24283684872
8/2028,173827.1023741975,179765.52255273503,177196.65988611963
9/2028,183428.9501648233,181930.90104381667,183805.45772870196
10/2028,177690.92443464373,180629.29248179242,179907.2410328885
11/2028,182986.4292130981,182453.83010944386,183110.16761684473
12/2028,186164.49412945012,183637.58468296597,184880.3578976944
1/2029,188020.61012514422,184909.4138489129,184953.97690742277
2/2029,185259.4435272818,183488.38454665965,183902.43409957233
3/2029,183490.72016508464,183400.05638170888,182483.1721217398
4/2029,198917.86907603763,186738.49821554197,193653.6290846818
5/2029,179899.45402294764,181842.88525382266,180809.99464089374
6/2029,186000.4125394345,183115.37297180248,185096.02166621026
7/2029,164959.1858465257,177831.11101015602,170723.39510057736
8/2029,173962.73170865828,179908.62402646808,177335.96761504663
9/2029,183572.07138177662,182075.6920633077,183949.92200019752
10/2029,177829.568532667,180773.06791567922,180048.66370426095
11/2029,183129.2051512024,182599.02914655904,183254.08938527966
12/2029,186309.74976619505,183783.7073496123,185025.66086460938
1/2030,188133.44990807015,185023.22693934193,185066.0262178589
2/2030,185370.62620761944,183601.34481229505,184013.85233098877
3/2030,183600.84135349205,183512.96363756538,182593.73858901483
4/2030,199037.2488033509,186853.40902330301,193770.899454991
5/2030,180007.41992799792,181954.85797993848,180919.5569577012
6/2030,186112.0399092254,183228.10937610074,185208.15622421305
7/2030,165058.18541210578,177940.6760867365,170826.90398684933
8/2030,174067.13471463745,180019.43591379796,177443.4450090611
9/2030,183682.2413927772,182187.8045074565,184061.36873127898
10/2030,177936.29220459756,180884.39859539407,180157.76911149116
11/2030,183239.10937788693,182711.4556692701,183365.11851532705
12/2030,186421.56278342946,183896.84485199302,185137.75319587108
1/2031,188216.24273718928,185107.4928796784,185148.51960917603
2/2031,185452.20318708298,183684.98501784643,184095.88268687678
3/2031,183681.6394948751,183596.5649487705,182675.14398833938
4/2031,199124.84012183535,186938.480381032,193857.22364345173
5/2031,180086.63669442508,182037.77360778666,181000.2255915331
6/2031,186193.9431663286,183311.58533006522,185290.71216339414
7/2031,165130.82339406433,178021.8251734644,170903.13109636385
8/2031,174143.7373100142,180101.49981076876,177522.5838929067
9/2031,183763.07535628224,182270.82264924853,184143.41999794715
10/2031,178014.5975194788,180966.84314082193,180238.10250153186
