Mes;Ano;Mes_Ano;CI_Pop_Uniforme;CII_Ambientalistas;CIII_Perdularios;CIV_PopUnif_RendaLinear;CV_PopUnif_RendaEquilibrio;CVI_PopUnif_RendaDesequilibrio;CVII_PopAleat_RendaLinear;CVIII_PopAleat_RendaEquilibrio;CIX_PopAleat_RendaDesequilibrio;CX_Ambient_RendaLinear;CXI_Ambient_RendaEquilibrio;CXII_Ambient_RendaDesequilibrio;CXIII_Perdul_RendaLinear;CXIV_Perdul_RendaEquilibrio;CXV_Perdul_RendaDesequilibrio;CXVI_PopUnif_RendaAleatLinear;CXVII_PopUnif_RendaAleatEquilibrio;CXVIII_PopUnif_RendaAleatDesequilibrio
1;2025;1/2025;179755,0501476814;179718,982118649;179742,83869665267;179755,0501476814;179755,0501476814;179755,0501476814;179742,38804369778;179742,38804369778;179742,38804369778;179718,982118649;179718,982118649;179718,982118649;179742,83869665267;179742,83869665267;179742,83869665267;178809,09931920125;178877,31504432118;179353,84571428777
2;2025;2/2025;179799,9889102181;179727,8438351474;179775,56295529832;179799,9889102181;179799,9889102181;179799,9889102181;179787,32364070995;179787,32364070995;179787,32364070995;179727,8438351474;179727,8438351474;179727,8438351474;179775,56295529832;179775,56295529832;179775,56295529832;179698,78874090422;179756,38023351502;179770,04259536255
3;2025;3/2025;179844,93890744777;179736,70776707729;179808,29539500896;179844,93890744777;179844,93890744777;179844,93890744777;179832,2704716209;179832,2704716209;179832,2704716209;179736,70776707729;179736,70776707729;179736,70776707729;179808,29539500896;179808,29539500896;179808,29539500896;179196,20247033474;178620,18226427966;179189,88353798224
4;2025;4/2025;179889,900142174;179745,57391498712;179841,03601783077;179889,900142174;179889,900142174;179889,900142174;179877,228539239;179877,228539239;179877,228539239;179745,57391498712;179745,57391498712;179745,57391498712;179841,03601783077;179841,03601783077;179841,03601783077;179630,75917428953;179308,69372903978;179673,1372304443
5;2025;5/2025;179934,8726172079;179754,44227943372;179873,78482580636;179934,8726172079;179934,8726172079;179934,8726172079;179922,19784637325;179922,19784637325;179922,19784637325;179754,44227943372;179754,44227943372;179754,44227943372;179873,78482580636;179873,78482580636;179873,78482580636;179405,14978405726;179138,47823218085;179576,84290557128
6;2025;6/2025;179979,85633536382;179763,31286097324;179906,54182098582;179979,85633536382;179979,85633536382;179979,85633536382;179967,1783958346;179967,1783958346;179967,1783958346;179763,31286097324;179763,31286097324;179763,31286097324;179906,54182098582;179906,54182098582;179906,54182098582;180036,04676168395;180552,5278524506;179248,99464078166
7;2025;7/2025;180024,8512994473;179772,1856601574;179939,30700541247;180024,8512994473;180024,8512994473;180024,8512994473;180012,17019043423;180012,17019043423;180012,17019043423;179772,1856601574;179772,1856601574;179772,1856601574;179939,30700541247;179939,30700541247;179939,30700541247;179789,24320950877;179124,98149185852;179271,5964881061
8;2025;8/2025;180069,8575122713;179781,06067754145;179972,08038113595;180069,8575122713;180069,8575122713;180069,8575122713;180057,17323298124;180057,17323298124;180057,17323298124;179781,06067754145;179781,06067754145;179781,06067754145;179972,08038113595;179972,08038113595;179972,08038113595;179727,93074919237;180158,9917185176;180235,72249358575
9;2025;9/2025;180114,87497665006;179789,93791368062;180004,861950202;180114,87497665006;180114,87497665006;180114,87497665006;180102,18752628885;180102,18752628885;180102,18752628885;179789,93791368062;179789,93791368062;179789,93791368062;180004,861950202;180004,861950202;180004,861950202;179710,22538807942;179368,10778555003;180152,23863623253
10;2025;10/2025;180159,90369539472;179798,81736912768;180037,65171466212;180159,90369539472;180159,90369539472;180159,90369539472;180147,21307317173;180147,21307317173;180147,21307317173;179798,81736912768;179798,81736912768;179798,81736912768;180037,65171466212;180037,65171466212;180037,65171466212;180205,465519605;180137,17540723342;179550,878268068
11;2025;11/2025;180204,9436713173;179807,69904443933;180070,4496765618;180204,9436713173;180204,9436713173;180204,9436713173;180192,2498764401;180192,2498764401;180192,2498764401;179807,69904443933;179807,69904443933;179807,69904443933;180070,4496765618;180070,4496765618;180070,4496765618;179612,0333138733;179377,58282022004;179130,80761236002
12;2025;12/2025;180249,9949072346;179816,5829401682;180103,25583795374;180249,9949072346;180249,9949072346;180249,9949072346;180237,29793890682;180237,29793890682;180237,29793890682;179816,5829401682;179816,5829401682;179816,5829401682;180103,25583795374;180103,25583795374;180103,25583795374;180507,02531132798;179779,53138151296;179986,46347396696
1;2026;1/2026;180291,45240606193;179824,75816753638;180133,4450518485;182486,48583158874;182557,5397085262;182559,35646009573;182474,66170909267;182545,71097917456;182547,5279826513;180211,69309356256;180225,99342522508;180222,00657829567;181790,21405221586;181841,68161640514;181848,55891374458;180466,212283267;180153,69385937531;180606,1342353601
2;2026;2/2026;180332,91944011944;179832,9352752083;180163,64120926676;182528,45772332835;182599,52794265797;182601,34511207914;182516,63088128637;182587,69649269982;182589,51391408834;180219,95919626413;180234,2628170032;180230,27505309918;181820,79126650214;181872,27066823188;181879,1495473481;181188,47584936398;179984,07088493125;181012,36427767473
3;2026;3/2026;180374,39601158936;179841,11426361266;180193,84431179817;182570,43926860514;182641,5258340855;182643,34342145716;182558,60970638818;182629,69166289308;182631,50950228795;180228,22720017112;180242,53411074326;180238,54542965448;181851,37551354768;181902,86675553978;181909,74721679869;179950,24157045444;179842,46358060036;181414,1355678707
4;2026;4/2026;180415,88212267248;179849,29513318476;180224,05436104492;182612,43046963634;182683,5333850269;182685,35139044252;182600,5981866201;182671,6964919749;182673,51474947287;180236,49710571917;180250,80730687996;180246,8177083944;181881,96679496873;181933,46987994734;181940,35192371177;180944,23586028296;180083,7912990856;180344,23084295756
5;2026;5/2026;180457,37777555984;179857,47788435797;180254,27135860035;182654,4313286449;182725,55059770515;182727,36902126178;182642,5963242038;182713,71098216833;182715,5296578652;180244,76891334442;180259,0824058515;180255,09188975807;181912,5651123867;181964,08004307415;181970,9636697084;181203,50485605138;180329,82599193737;181377,64709712297
6;2026;6/2026;180498,8829724489;179865,66251756295;180284,4953060677;182696,44184785095;182767,57747434246;182769,3963161378;182684,60412135895;182755,73513569383;182757,55422968703;180253,0426234863;180267,35940809708;180263,36797418486;181943,17046741748;181994,69724653783;182001,58245640737;180619,32276241062;181036,49904227536;181288,28480611477
7;2026;7/2026;180540,39771553295;179873,84903323255;180314,72620504358;182738,46202947528;182809,61401716206;182811,43327729116;182726,62158030522;182797,76895477436;182799,58846715942;180261,3182365817;180275,63831405234;180271,64596211122;181973,7828616778;182025,32149195886;182032,208285426;180856,05094244104;180803,47349060414;179656,11578123388
8;2026;8/2026;180581,92200700688;179882,03743180222;180344,96405712355;182780,49187574245;182851,6602283853;182853,4799069431;182768,64870326995;182839,8124416348;182841,63237250707;180269,5957530675;180283,91912415615;180279,9258539732;182004,40229679053;182055,95278095556;182062,84115838533;180710,41225084115;179532,59489047786;180618,34301624013
9;2026;9/2026;180623,45584906894;179890,2277137032;180375,2088639132;182822,53138887323;182893,71611023857;182895,53620732282;182810,68549247112;182881,86559849622;182883,68594795268;180277,8751733821;180292,20183884655;180288,20765021132;182035,0287743723;182086,59111514955;182093,48107690638;181047,34942531207;180820,73254104005;181705,55046702304
10;2026;10/2026;180664,99924391494;179898,419879369;180405,4606270045;182864,58057109246;182935,78166494292;182937,6021806509;182852,7319501332;182923,92842758345;182925,74919572088;180286,1564979639;180300,48645856048;180296,4913512625;182065,66229604444;182117,2364961598;182124,1280426084;180695,01892623524;180250,0271157209;181599,2425422863
11;2026;11/2026;180706,55219374225;179906,61392923293;180435,71934800383;182906,6394246245;182977,85689472625;182979,67782915177;182894,78807848392;182966,0009311219;182967,82211803642;180294,43972724973;180308,7729837375;180304,77695756513;182096,3028634273;182147,8889256085;182154,78205711162;180837,57351236668;180991,25335256415;181009,99998001228
12;2026;12/2026;180748,11470074387;179914,80986372786;180465,98502850597;182948,70795169278;183019,94180181282;183021,76315505346;182936,85387974087;183008,08311133587;183009,9047171233;180302,72486167884;180317,06141481586;180313,0644695573;182126,95047814038;182178,54840511564;182185,44312203923;180896,63983808522;181152,82748495173;180955,3743318024
1;2027;1/2027;180784,26432368514;179921,93840247445;180492,30906469093;185692,56873788626;185851,78767611485;185865,11127263773;185682,10833478314;185841,3181854036;185854,64162781127;180787,16185799544;180818,5620189561;180810,47425763964;184197,0028079617;184313,43448143828;184336,7883097397;181306,45019010277;179828,5984016403;180769,1871290396
2;2027;2/2027;180820,42117654742;179929,06836693053;180518,63836567907;185729,70725163462;185888,95803364948;185902,28429489414;185719,24475644995;185878,48644903972;185891,8125561379;180794,46486714197;180825,87130813499;180817,78192926705;184224,07304770182;184340,52800751157;184363,88650658002;180977,64375266252;180729,66175095382;180976,42315031122
3;2027;3/2027;180856,58526078353;179936,1997573792;180544,97293253028;185766,8531930863;185926,135825257;185939,4647517529;185756,388605403;185915,6621463305;185928,99091864933;180801,76933689142;180833,18205917213;180825,09106242753;184251,1487014898;184367,62695229094;184390,9901230595;180754,8714382391;181420,42364932943;180288,4392303513
4;2027;4/2027;180892,7565778363;179943,3325741056;180571,31276629522;185804,00656372463;185963,3210524225;185976,65264470456;185793,53988312377;185952,84527875902;185966,17671683346;180809,0752675333;180840,49427236;180832,4016574159;184278,22977040792;184394,73131685858;184418,0991602621;180895,142627952;180735,90897836318;180122,42372935652
5;2027;5/2027;180928,9351291519;179950,4668173964;180597,6578680257;185841,1673650372;186000,5137166324;186013,84797523313;185830,69859110026;185990,03584781545;186003,36995217754;180816,38265936263;180847,80794798915;180839,7137145231;184305,31625553884;184421,8411022998;184445,2136192711;181394,48513575454;180725,57435935776;181879,20806966163
6;2027;6/2027;180965,12091617793;179957,60248753562;180624,00823877644;185878,33559851142;186037,71381937643;186051,05074482842;185867,8647308195;186027,2338549858;186040,5706261676;180823,69151267037;180855,12308635443;180847,0272340407;184332,40815796782;184448,95630969788;184472,33350117327;181214,40128142558;180683,9993129069;181207,8161446958
7;2027;7/2027;181001,3139403599;179964,7395848078;180650,36387960127;185915,5112656301;186074,92136214048;186088,2609549785;185905,03830376462;186064,43930175563;186077,77874029326;180831,0018277477;180862,4396877473;180854,3422162635;184359,50547877635;184476,07694013696;184499,45880705092;181808,14119798806;180306,82941151856;181524,0008919828
8;2027;8/2027;181037,51420315282;179971,87810950252;180676,72479155607;185952,69436788306;186112,1363464126;186125,4786071687;185942,21931142613;186101,6521896174;186114,99429604242;180838,31360488874;180869,75775245993;180861,65866148166;184386,60821904923;184503,2029947023;184526,58953798958;182111,1204717525;181527,83974893845;180388,32459770903
9;2027;9/2027;181073,72170598962;179979,01806189847;180703,09097569046;185989,88490675692;186149,35877368203;186162,70370289;185979,40775528713;186138,87252005376;186152,21729489992;180845,62684438485;180877,0772807861;180868,97656998897;184413,71637987092;184530,334474479;184553,7256950748;181389,6951501824;181029,13205345627;181477,41984549983
10;2027;10/2027;181109,9364503299;179986,15944228377;180729,46243306398;186027,08288373778;186186,58864543514;186199,93624362967;186016,60363683963;186176,100294558;186189,44773835907;180852,94154652915;180884,39827301656;180876,29594207887;184440,829962324;184557,47138055065;184580,8672793902;181207,88188052512;180234,39744042265;181008,31056210058
11;2027;11/2027;181146,15843762286;179993,30225095054;180755,83916472795;186064,2883003154;186223,82596316544;186237,17623087883;186053,80695756598;186213,3355146166;186226,68562790612;180860,2577116134;180891,72072944665;180883,61677804246;184467,94896749518;184584,6137140053;184608,01429202393;182079,24140115076;181035,15619583728;181778,6262123254
12;2027;12/2027;181182,38766930733;180000,44648817586;180782,22117173517;186101,50115797448;186261,07072835686;186274,42366612412;186091,0177189579;186250,57818171973;186263,93096503182;180867,57533993127;180899,04465036746;180890,9390781729;184495,07339646475;184611,76147592475;184635,16673405946;181824,6490149605;181315,15125420794;181353,24221953898
1;2028;1/2028;181215,00049908872;180006,87758764048;180805,969726808;188743,7902504806;188990,75848889104;189015,56677316208;188734,22305195828;188981,178559125;189005,98636914592;181334,0335533004;181382,45803842755;181370,2816430516;186488,55538830263;186669,63862871774;186709,43164844313;181495,1449900062;181637,8773352514;180802,59657622993
2;2028;2/2028;181247,61919917908;180013,3098447045;180829,72255661912;188777,76413272493;189024,77682541832;189049,58957518046;188768,19521210718;189015,1951712664;189040,0074466918;181340,70469843716;181389,13789997072;181376,9593128449;186513,33108353204;186694,4469189312;186734,24710139952;180621,04092242423;181162,53468892153;181946,26047618384
3;2028;3/2028;181280,24377063118;180019,7432595724;180853,47966193742;188811,7441302672;189058,80128524647;189083,6185013033;188802,17348724452;189049,21790639564;189074,03464803228;181347,37704438058;181395,81896389124;181383,63818461908;186538,11123838538;186719,2596746352;186759,06702113675;181735,95891483178;181338,0165413804;181323,97921714684
4;2028;4/2028;181312,87421452237;180026,1778324687;180877,2410435363;188845,73024421264;189092,83186947808;189117,6535526345;188836,15787847288;189083,24676561958;189108,067974269;181354,0505913467;181402,50123040233;181390,31825859065;186562,89585366967;186744,0768966367;186783,8914084605;181793,14507311422;182288,4284496934;181412,2303054403
5;2028;5/2028;181345,51053187356;180032,61356356644;180901,00670218677;188879,72247565442;189126,8685792145;189151,6947302727;188870,14838688966;189117,2817500372;189142,10742650324;181360,72533954948;181409,18469972166;181396,99953497417;186587,68493018212;186768,89858573748;186808,7202641728;181770,04551444316;181652,05531920525;181804,61374360154
6;2028;6/2028;181378,15272376736;180039,05045310452;180924,77663865167;188913,72082570323;189160,91141555907;189185,74203532696;188904,1450136017;189151,32286075247;189176,153005842;181367,40128921;181415,86937206518;181403,682013989;186612,478468731;186793,72474274354;186833,55358908235;181323,18367637432;181150,12447426558;180355,4068078374
7;2028;7/2028;181410,80079125735;180045,48850128392;180948,55085370643;188947,72529544978;189194,9603796129;189219,7954688915;188938,14775970313;189185,37009886646;189210,20471338282;181374,0784405393;181422,55524764935;181410,36569584883;186637,2764701137;186818,55536845708;186858,39138398733;180279,86882134006;181584,23967302276;181230,24461899488
8;2028;8/2028;181443,45473540164;180051,9277083142;180972,3293481192;188981,73588600277;189229,0154724809;189253,8550320762;188972,15662629958;189219,42346548435;189244,26255023092;181380,75679375647;181429,24232669245;181417,05058077181;186662,07893513766;186843,39046368154;186883,233649696;181494,47853549785;182026,01454788542;180909,57216657494
9;2028;9/2028;181476,11455725261;180058,36807439718;180996,11212266242;189015,75259846295;189263,07669526731;189287,92072598252;189006,17161449254;189253,48296170885;189278,3265174897;181387,43634907747;181435,93060940923;181423,7366689745;186686,88586460633;186868,23002922576;186908,08038701295;182038,702250902;181874,14569057216;181533,02096182658
10;2028;10/2028;181508,78025787196;180064,80959974957;181019,8991781028;189049,77543392993;189297,14404907174;189321,99255171203;189040,19272538272;189287,54858864145;189312,39661626305;181394,11710671743;181442,62009601636;181430,42396067185;186711,69725932137;186893,07406589043;186932,93159674184;181311,01864050026;180703,79630631217;181678,77111129998
11;2028;11/2028;181541,45183831817;180071,25228457438;181043,6905152153;189083,8043935079;189331,21753500096;189356,070510371;189074,21996007263;189321,62034738762;189346,4728476529;181400,7990668941;181449,31078673163;181437,11245608266;186736,51312008803;186917,9225744822;186957,7872796889;181087,9829033484;182048,30130700878;181307,0927786578
12;2028;12/2028;181574,12929965212;180077,69612908433;181067,48613476884;189117,83947829902;189365,29715415504;189390,15460306345;189108,2533196661;189355,69823904886;189380,55521276552;181407,4822298244;181456,00268176975;181443,80215542272;186761,33344770936;186942,7755558046;186982,64743665894;181159,2401228892;181598,87618457884;181176,13842836083
1;2029;1/2029;181603,18116034006;180083,42502188572;181088,6416038924;191643,70993756969;191980,87817027044;192024,36456705726;191635,07664535666;191972,22945855456;192015,71488788055;181853,34397368104;181918,40759460296;181902,87949378384;188667,03955992038;188915,63234917136;188978,05896317225;180751,80965744078;181159,91158229014;180488,1253337218
2;2029;2/2029;181632,2376693244;180089,15483130797;181109,80045789125;191674,37293115942;192011,59511077605;192055,08846538677;191665,73825761906;192002,94501526657;192046,43740226282;181859,35697013667;181924,4310012375;181908,90041592243;188689,41095759213;188938,04352168847;189000,48012394793;181270,38304219313;181356,09240059124;181662,99546267863
3;2029;3/2029;181661,29882735037;180094,8855574994;181130,96269730662;191705,0408308288;192042,31696599518;192085,8172795414;191696,40477574075;192033,6654864695;192077,1648322467;181865,3709286725;181930,45537161862;181914,92230140913;188711,78593468762;188960,45827999478;189022,9048721102;181938,2327471935;182213,2390647405;181789,95684166794
4;2029;4/2029;181690,36463516374;180100,6172006101;181152,12832267975;191735,71363736124;192073,04373671;192116,5510103058;191727,0762005045;192064,39087294808;192107,89717861995;181871,38584944134;181936,48070589767;181920,9451503977;188734,16449177856;188982,87662466196;189045,3332082312;182349,42706112334;181712,18404887946;181380,56997411052
5;2029;5/2029;181719,43509350446;180106,3497607838;181173,297334552;191766,39135154392;192103,77542370756;192147,2896584681;191757,75253269676;192095,12117548726;192138,63444216797;181877,40173259797;181942,50700423145;181926,9689630428;188756,54662943928;189005,29855626315;189067,76513288647;180261,4232527499;181985,39337366042;182066,21648512103
6;2029;6/2029;181748,5102031206;180112,08323816603;181194,4697334681;191797,07397415958;192134,51202777456;192178,0332248115;191788,43377310186;192125,85639487524;192169,37662367828;181883,4185782946;181948,5342667716;181932,99373949604;188778,9323482417;189027,72407537352;189090,20064664847;181918,23598214224;181445,96234896258;180875,8967459088
7;2029;7/2029;181777,58996475337;180117,81763290515;181215,64551996737;191827,76150599474;192165,25354969947;192208,78171012914;191819,11992250493;192156,59653189837;192200,12372393816;181889,4363866873;181954,56249367516;181939,01947991503;188801,32164875913;189050,1531825679;189112,63975009506;181448,2610790168;182797,81123147625;182193,65906350364
8;2029;8/2029;181806,6743791471;180123,55294514447;181236,824694593;191858,45394783508;192195,99999026684;192239,5351152016;191849,81098169205;192187,3415873429;192230,87574373413;181895,4551579287;181960,59168509385;181945,04618445228;188823,71453156485;189072,58587841914;189135,08244379607;181782,69645491568;181997,94036939662;182129,971444811
9;2029;9/2029;181835,76344704733;180129,28917503564;181258,00725788643;191889,15130046842;192226,75135026634;192270,29344082304;191880,50695144982;192218,09156199658;192261,63268385504;181901,4748921752;181966,6218411841;181951,0738532631;188846,11099723307;189095,0221635025;189157,52872833092;182161,2043508752;181922,44406089312;181944,78218163125
