Mes;Ano;Mes_Ano;CI_Pop_Uniforme;CII_Ambientalistas;CIII_Perdularios;CIV_PopUnif_RendaLinear;CV_PopUnif_RendaEquilibrio;CVI_PopUnif_RendaDesequilibrio;CVII_PopAleat_RendaLinear;CVIII_PopAleat_RendaEquilibrio;CIX_PopAleat_RendaDesequilibrio;CX_Ambient_RendaLinear;CXI_Ambient_RendaEquilibrio;CXII_Ambient_RendaDesequilibrio;CXIII_Perdul_RendaLinear;CXIV_Perdul_RendaEquilibrio;CXV_Perdul_RendaDesequilibrio;CXVI_PopUnif_RendaAleatLinear;CXVII_PopUnif_RendaAleatEquilibrio;CXVIII_PopUnif_RendaAleatDesequilibrio
1;2026;1/2026;184160,2323951671;184133,7662063055;184145,94515068864;184160,2323951671;184160,2323951671;184160,2323951671;184148,93816330674;184148,93816330674;184148,93816330674;184133,7662063055;184133,7662063055;184133,7662063055;184145,94515068864;184145,94515068864;184145,94515068864;184257,77194535587;184142,1208035817;183772,04549135416
2;2026;2/2026;184198,68494572022;184145,73848366883;184168,6518387965;184198,68494572022;184198,68494572022;184198,68494572022;184186,9898044858;184186,9898044858;184186,9898044858;184145,73848366883;184145,73848366883;184145,73848366883;184168,6518387965;184168,6518387965;184168,6518387965;183883,39756175628;183717,0497472895;184249,72553734295
3;2026;3/2026;184237,14634035758;184157,71351465647;184191,36374943994;184237,14634035758;184237,14634035758;184237,14634035758;184225,44850924108;184225,44850924108;184225,44850924108;184157,71351465647;184157,71351465647;184157,71351465647;184191,36374943994;184191,36374943994;184191,36374943994;183805,49240965262;183521,0760885957;183833,82294453727
4;2026;4/2026;184275,61392500534;184169,69129991278;184214,07822770023;184275,61392500534;184275,61392500534;184275,61392500534;184263,91605950912;184263,91605950912;184263,91605950912;184169,69129991278;184169,69129991278;184169,69129991278;184214,07822770023;184214,07822770023;184214,07822770023;183869,41030513344;183999,01433426153;183916,38174946437
5;2026;5/2026;184314,08421981765;184181,67184003783;184236,7917929351;184314,08421981765;184314,08421981765;184314,08421981765;184302,38980117033;184302,38980117033;184302,38980117033;184181,67184003783;184181,67184003783;184181,67184003783;184236,7917929351;184236,7917929351;184236,7917929351;183938,9896941744;183945,8316716731;183729,69754822194
6;2026;6/2026;184352,56336280497;184193,65513568983;184259,51058229245;184352,56336280497;184352,56336280497;184352,56336280497;184340,86625443937;184340,86625443937;184340,86625443937;184193,65513568983;184193,65513568983;184193,65513568983;184259,51058229245;184259,51058229245;184259,51058229245;183326,8977469112;184570,63591028762;184083,78259360912
7;2026;7/2026;184391,05135601253;184205,6411875157;184282,23459697282;184391,05135601253;184391,05135601253;184391,05135601253;184379,35155730692;184379,35155730692;184379,35155730692;184205,6411875157;184205,6411875157;184205,6411875157;184282,23459697282;184282,23459697282;184282,23459697282;183899,88795145106;184187,52915694774;183983,67564963095
8;2026;8/2026;184429,5482014522;184217,62999612687;184304,96383817677;184429,5482014522;184429,5482014522;184429,5482014522;184417,8457117951;184417,8457117951;184417,8457117951;184217,62999612687;184217,62999612687;184217,62999612687;184304,96383817677;184304,96383817677;184304,96383817677;183853,00126261526;183578,55839336806;183966,98854297175
9;2026;9/2026;184468,05390115932;184229,62156215857;184327,69830710517;184468,05390115932;184468,05390115932;184468,05390115932;184456,34871993124;184456,34871993124;184456,34871993124;184229,62156215857;184229,62156215857;184229,62156215857;184327,69830710517;184327,69830710517;184327,69830710517;184075,27218681693;184127,24906726697;184001,6470805071
10;2026;10/2026;184506,56845717732;184241,6158862512;184350,43800496095;184506,56845717732;184506,56845717732;184506,56845717732;184494,8605837577;184494,8605837577;184494,8605837577;184241,6158862512;184241,6158862512;184241,6158862512;184350,43800496095;184350,43800496095;184350,43800496095;184180,2898165712;184233,36197333262;183543,79521023724
11;2026;11/2026;184545,09187155552;184253,61296904852;184373,18293294884;184545,09187155552;184545,09187155552;184545,09187155552;184533,38130532135;184533,38130532135;184533,38130532135;184253,61296904852;184253,61296904852;184253,61296904852;184373,18293294884;184373,18293294884;184373,18293294884;183864,6650970062;183803,3428712019;183821,2033429548
12;2026;12/2026;184583,6241463015;184265,61281116464;184395,9330922637;184583,6241463015;184583,6241463015;184583,6241463015;184571,91088664226;184571,91088664226;184571,91088664226;184265,61281116464;184265,61281116464;184265,61281116464;184395,9330922637;184395,9330922637;184395,9330922637;184409,4934926917;184213,23637665834;184155,06346185078
1;2027;1/2027;184617,1381786296;184276,04985644764;184415,72038953527;185950,7687936728;185995,9469689701;185993,3583742603;185940,51823246322;185985,69363111633;185983,10517859767;184660,05887185826;184674,9905068468;184670,54661800468;185237,12563028687;185263,06727768018;185265,4446065229;184493,4938159397;183886,76919063088;184179,58168866366
2;2027;2/2027;184650,65891377378;184286,48898915524;184435,51164426177;185984,47214343253;186029,6593543651;186027,07024193564;185974,21953211084;186019,40396584378;186016,81499563396;184670,5748063607;184685,50942767723;184681,06465005665;185256,99705456136;185282,94389028367;185285,32169459245;183854,9536616961;183996,0949914978;184342,387775453
3;2027;3/2027;184684,18635307185;184296,9302096893;184455,30685724385;186018,18223386264;186063,37848223714;186060,78885198553;186007,92757201768;186053,1210426373;186050,53155463413;184681,09284404968;184696,03045228985;184691,58478571434;185276,8724531219;185302,8244782117;185305,20275808062;184417,0181720771;184063,40295860707;183793,10338532325
4;2027;4/2027;184717,72049782152;184307,37351844212;184475,10602926055;186051,89906630683;186097,10435393234;186094,51420575503;186041,64235353153;186086,8448628462;186084,25485694528;184691,6129853441;184706,55358110668;184702,10702539826;185296,75182676045;185322,70904225556;185325,08779778064;184181,23823725272;184130,4141681366;184556,58128786433
5;2027;5/2027;184751,26134942524;184317,81891587767;184494,90916111483;186085,62264212023;186130,8369708021;186128,24630459448;186075,36387800163;186120,57542781733;186117,984903915;184702,1352306686;184717,07881454987;184712,63136952932;185316,63517627458;185342,59758321234;185344,9768144887;184487,42229371823;184158,21283313874;184086,99711637598
6;2027;6/2027;184784,8089091921;184328,2664023839;184514,7162535966;186119,35296264864;186164,57633419812;186161,98514985671;186109,09214677662;186154,3127389036;186151,7216968962;184712,6595804426;184727,60615304127;184723,15781853112;185336,52250245804;185362,49010187807;185364,8698090006;184708,05639857647;184463,15461738367;184105,7476044042
