INDEX;SETOR_SIMPLIFICADO;SETOR_ORIGINAL;NUM_HOUSEHOLDS;CREATION_DATE
1;S001;0;1022;2026-05-23
2;S002;292740805090020;331;2026-05-23
3;S003;292740805090021;221;2026-05-23
4;S004;292740805090022;244;2026-05-23
5;S005;292740805090023;288;2026-05-23
6;S006;292740805090024;218;2026-05-23
7;S007;292740805090025;343;2026-05-23
8;S008;292740805090026;132;2026-05-23
9;S009;292740805090027;134;2026-05-23
10;S010;292740805090028;166;2026-05-23
11;S011;292740805090029;246;2026-05-23
12;S012;292740805090030;117;2026-05-23
13;S013;292740805090031;169;2026-05-23
14;S014;292740805090032;272;2026-05-23
15;S015;292740805090033;227;2026-05-23
16;S016;292740805090034;239;2026-05-23
17;S017;292740805090035;5;2026-05-23
18;S018;292740805090046;86;2026-05-23
19;S019;292740805090048;387;2026-05-23
20;S020;292740805090063;261;2026-05-23
21;S021;292740805090066;77;2026-05-23
22;S022;292740805090067;193;2026-05-23
23;S023;292740805090073;205;2026-05-23
24;S024;292740805090074;263;2026-05-23
25;S025;292740805090077;188;2026-05-23
26;S026;292740805090079;247;2026-05-23
27;S027;292740805090081;152;2026-05-23
28;S028;292740805090082;205;2026-05-23
29;S029;292740805090083;199;2026-05-23
30;S030;292740805090084;244;2026-05-23
31;S031;292740805090099;257;2026-05-23
32;S032;292740805090103;356;2026-05-23
33;S033;292740805090105;195;2026-05-23
34;S034;292740805090106;177;2026-05-23
35;S035;292740805090107;252;2026-05-23
36;S036;292740805090108;242;2026-05-23
37;S037;292740805090115;246;2026-05-23
38;S038;292740805090120;157;2026-05-23
39;S039;292740805090121;209;2026-05-23
40;S040;292740805090123;167;2026-05-23
41;S041;292740805090127;334;2026-05-23
42;S042;292740805090129;238;2026-05-23
43;S043;292740805090132;153;2026-05-23
44;S044;292740805090133;88;2026-05-23
45;S045;292740805090134;122;2026-05-23
46;S046;292740805090135;139;2026-05-23
47;S047;292740805090136;202;2026-05-23
48;S048;292740805090140;93;2026-05-23
49;S049;292740805090163;135;2026-05-23
50;S050;292740805090166;149;2026-05-23
51;S051;292740805090167;216;2026-05-23
52;S052;292740805090168;110;2026-05-23
53;S053;292740805090173;139;2026-05-23
54;S054;292740805090178;338;2026-05-23
55;S055;292740805090180;273;2026-05-23
56;S056;292740805090181;128;2026-05-23
57;S057;292740805090186;339;2026-05-23
58;S058;292740805090188;155;2026-05-23
59;S059;292740805090189;195;2026-05-23
60;S060;292740805090192;66;2026-05-23
61;S061;292740805090193;162;2026-05-23
62;S062;292740805090200;140;2026-05-23
63;S063;292740805090203;71;2026-05-23
64;S064;292740805090227;117;2026-05-23
65;S065;292740805090239;98;2026-05-23
66;S066;292740805090244;59;2026-05-23
67;S067;292740805090247;194;2026-05-23
68;S068;292740805090248;258;2026-05-23
69;S069;292740805090260;223;2026-05-23
70;S070;292740805090272;224;2026-05-23
71;S071;292740805090275;146;2026-05-23
72;S072;292740805090277;93;2026-05-23
73;S073;292740805090278;159;2026-05-23
74;S074;292740805090279;221;2026-05-23
75;S075;292740805090280;145;2026-05-23
76;S076;292740805090291;163;2026-05-23
77;S077;292740805090292;177;2026-05-23
78;S078;292740805090293;104;2026-05-23
79;S079;292740805090294;85;2026-05-23
80;S080;292740805090295;142;2026-05-23
81;S081;292740805090296;25;2026-05-23
82;S082;292740805090299;171;2026-05-23
83;S083;292740805090300;244;2026-05-23
84;S084;292740805090301;164;2026-05-23
85;S085;292740805090302;1;2026-05-23
86;S086;292740805090303;121;2026-05-23
87;S087;292740805090304;177;2026-05-23
88;S088;292740805090305;109;2026-05-23
89;S089;292740805090307;99;2026-05-23
90;S090;292740805090308;136;2026-05-23
91;S091;292740805090313;35;2026-05-23
92;S092;292740805090317;175;2026-05-23
93;S093;292740805090318;211;2026-05-23
94;S094;292740805090319;217;2026-05-23
95;S095;292740805090323;275;2026-05-23
96;S096;292740805090324;376;2026-05-23
97;S097;292740805090325;2;2026-05-23
98;S098;292740805090326;308;2026-05-23
99;S099;292740805090327;281;2026-05-23
100;S100;292740805090328;94;2026-05-23
101;S101;292740805090329;214;2026-05-23
102;S102;292740805090344;128;2026-05-23
103;S103;292740805090345;135;2026-05-23
