Scenario (m³),2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
CI_Pop_Uniforme,2160029.0,2166236.4,2171799.1,2176734.1,2181156.9,2185064.3,2188453.5,2191179.6,2193262.1,2194677.1
CII_Ambientalistas,2157213.1,2158437.2,2159534.2,2160507.3,2161379.5,2162150.0,2162818.3,2163355.9,2163766.6,2164045.6
CIII_Perdularios,2159075.7,2163595.8,2167646.6,2171240.3,2174460.9,2177306.3,2179774.3,2181759.4,2183275.9,2184306.3
CIV_PopUnif_RendaLinear,2160029.0,2192610.1,2230763.6,2267169.1,2301749.4,2334311.0,2364667.2,2392483.4,2417610.1,2439862.6
CV_PopUnif_RendaEquilibrio,2160029.0,2193463.8,2232676.3,2270135.7,2305798.9,2339455.5,2370839.6,2399649.1,2425694.5,2448820.1
CVI_PopUnif_RendaDesequilibrio,2160029.0,2193485.7,2232836.4,2270433.7,2306321.2,2340254.5,2371928.9,2401074.0,2427444.7,2450894.4
CVII_PopAleat_RendaLinear,2159876.9,2192468.0,2230637.9,2267054.2,2301645.7,2334219.0,2364587.3,2392422.8,2417562.5,2439835.1
CVIII_PopAleat_RendaEquilibrio,2159876.9,2193321.7,2232550.6,2270020.6,2305695.1,2339363.3,2370759.5,2399588.3,2425646.7,2448792.5
CIX_PopAleat_RendaDesequilibrio,2159876.9,2193343.5,2232710.6,2270318.6,2306217.3,2340162.3,2371848.8,2401013.2,2427396.9,2450866.8
CX_Ambient_RendaLinear,2157213.1,2163086.3,2169928.3,2176449.0,2182637.2,2188458.8,2193880.8,2198841.2,2203314.1,2207266.3
CXI_Ambient_RendaEquilibrio,2157213.1,2163258.1,2170305.5,2177030.6,2183418.6,2189436.5,2195043.3,2200177.4,2204810.1,2208918.4
CXII_Ambient_RendaDesequilibrio,2157213.1,2163210.2,2170208.3,2176884.4,2183232.1,2189215.8,2194794.9,2199911.0,2204529.5,2208632.9
CXIII_Perdul_RendaLinear,2159075.7,2183502.2,2212151.9,2239498.8,2265481.8,2289954.8,2312777.0,2333699.6,2352609.4,2369367.5
CXIV_Perdul_RendaEquilibrio,2159075.7,2184120.6,2213550.6,2241674.0,2268467.5,2293769.0,2317368.5,2339047.8,2358658.3,2376076.7
CXV_Perdul_RendaDesequilibrio,2159075.7,2184203.2,2213831.1,2242152.0,2269217.3,2294835.8,2318757.7,2340790.6,2360739.7,2378483.3
CXVI_PopUnif_RendaAleatLinear,2156328.0,2169415.0,2176963.7,2176109.8,2179270.4,2185003.6,2188460.0,2192221.2,2194402.8,2194078.2
CXVII_PopUnif_RendaAleatEquilibrio,2154199.9,2164981.3,2169572.7,2179064.4,2181336.2,2185762.2,2191371.4,2193349.0,2194748.4,2193761.2
CXVIII_PopUnif_RendaAleatDesequilibrio,2155140.5,2171587.4,2172773.4,2175479.9,2180807.0,2184344.8,2188217.0,2190584.4,2192457.4,2194055.6
