CD_SETOR;CONSUMO_MEDIO_SETOR;QTD_CONSUMIDORES;RENDA_MEDIA_RESPONSAVEL;CD_SETOR_SIMPLIFICADO
292740805090020;9.964831804281346;327;2714.05;S002
292740805090021;13.533371913580247;216;2418.3;S003
292740805090022;10.643939393939393;253;2510.55;S004
292740805090023;12.079597701149426;290;2627.26;S005
292740805090024;13.3996567996568;222;2681.35;S006
292740805090025;14.080367231638418;354;2617.43;S007
292740805090026;9.443121693121693;126;2087.65;S008
292740805090027;8.993243243243244;148;1852.17;S009
292740805090028;9.887972187629723;146;2386.6;S010
292740805090029;16.508163265306123;245;4056.18;S011
292740805090030;25.345506345506347;117;8901.6;S012
292740805090031;21.142293603832066;169;5793.16;S013
292740805090032;5.077313054499366;263;1291.49;S014
292740805090033;7.135560675883257;217;1561.82;S015
292740805090034;10.532868525896415;251;2426.54;S016
292740805090046;21.72318007662835;87;5405.89;S018
292740805090048;5.898480933364654;387;2795.63;S019
292740805090063;9.654392764857882;258;2619.57;S020
292740805090066;6.315727699530517;71;1399.27;S021
292740805090067;6.775407925407926;195;1521.44;S022
292740805090073;7.1215780998389695;207;1752.71;S023
292740805090074;8.43476577622919;246;2869.74;S024
292740805090077;12.33663101604278;187;5072.98;S025
292740805090079;7.258592549923195;248;1867.36;S026
292740805090081;9.072115384615385;156;2448.48;S027
292740805090082;5.952557755775578;202;1286.26;S028
292740805090083;5.379585326953747;209;4271.33;S029
292740805090084;7.845462962962963;270;1709.9;S030
292740805090099;12.240234375;256;4757.46;S031
292740805090103;10.834981684981685;364;2949.96;S032
292740805090105;5.183382679496669;193;1357.46;S033
292740805090106;6.383699633699633;182;1604.27;S034
292740805090107;15.894951499118166;252;10413.1;S035
292740805090108;18.819214876033058;242;11368.08;S036
292740805090115;7.745147255689424;249;1588.18;S037
292740805090120;9.417200854700853;156;2090.42;S038
292740805090121;4.9;215;1138.01;S039
292740805090123;7.468152866242038;157;1365.35;S040
292740805090127;10.068807339449542;327;3086.7;S041
292740805090129;6.102873563218392;232;1168.35;S042
292740805090132;9.597570785070785;148;3330.47;S043
292740805090133;12.057116104868912;89;4424.12;S044
292740805090134;16.011265249901612;121;2013.2;S045
292740805090135;8.853146853146853;143;2713.05;S046
292740805090136;12.815217391304348;207;3559.73;S047
292740805090140;16.82482993197279;98;4488.4;S048
292740805090163;5.462752525252526;132;1328.36;S049
292740805090166;7.375;154;1452.2;S050
292740805090167;6.92420814479638;221;1406.44;S051
292740805090168;28.097727272727273;110;9390.18;S052
292740805090173;5.638257575757576;132;1392.24;S053
292740805090178;8.454720616570327;346;2803.54;S054
292740805090180;9.199782025486252;284;3709.44;S055
292740805090181;9.102699530516432;142;7467.65;S056
292740805090186;10.421539961013645;342;2747.83;S057
292740805090188;7.420886075949367;158;2176.84;S058
292740805090189;7.107766143106457;191;1606.74;S059
292740805090192;2.265625;64;1315.4;S060
292740805090193;5.4145569620253164;158;1522.32;S061
292740805090200;3.1570945945945947;148;1021.96;S062
292740805090203;3.0525641025641024;65;1285.44;S063
292740805090227;15.186063218390803;116;6192.19;S064
292740805090239;10.241228070175438;95;2439.49;S065
292740805090244;7.656084656084656;63;8822.21;S066
292740805090247;7.3489010989010985;182;1598.32;S067
292740805090248;15.660943396226413;265;4839.78;S068
292740805090260;21.716641865079364;224;5035.7;S069
292740805090272;25.670789527932385;231;5384.51;S070
292740805090275;9.548561151079136;139;2365.73;S071
292740805090277;19.123684210526317;95;3046.05;S072
292740805090278;13.00325246132208;158;2376.55;S073
292740805090279;6.7511006930289446;223;2373.65;S074
292740805090280;6.418460534898891;146;1868.08;S075
292740805090291;10.8946875;160;3204.71;S076
292740805090292;28.314207650273225;183;5250.28;S077
292740805090293;4.097222222222222;108;1634.51;S078
292740805090294;7.635802469135802;81;1163.38;S079
292740805090295;5.13006993006993;143;1463.48;S080
292740805090299;9.596986817325801;177;2881.95;S082
292740805090300;8.823045267489713;243;1859.13;S083
292740805090301;12.49732905982906;156;3739.34;S084
292740805090303;6.33879781420765;122;1651.05;S086
292740805090304;7.572784810126582;158;2262.39;S087
292740805090305;15.89018691588785;107;6642.66;S088
292740805090307;7.929924242424243;88;1479.9;S089
292740805090308;5.713541666666667;128;1328.32;S090
292740805090313;15.635714285714286;35;6677.46;S091
292740805090317;3.5978658536585364;164;1791.2;S092
292740805090318;3.2354368932038833;206;5134.75;S093
292740805090319;14.34934497816594;229;4338.05;S094
292740805090323;8.721632147282705;269;2815.48;S095
292740805090324;6.211950482672408;374;1669.35;S096
292740805090325;25.208333333333336;2;904.8;S097
292740805090326;6.831390569257019;307;1712.43;S098
292740805090327;7.646986469864699;271;2114.19;S099
292740805090328;26.955;100;3892.08;S100
292740805090329;12.593871406371408;208;5922.09;S101
292740805090344;30.604557291666666;128;7029.33;S102
292740805090345;20.169321895424837;136;5671.63;S103
