,count,mean,std,min,25%,50%,75%,max
CI,10.0,2199814.6569925863,11998.991524987678,2178803.4193370556,2191920.281983556,2202085.629930979,2209537.2965687076,2213752.653634537
CII,10.0,2180064.662591935,2345.7570480020563,2175957.0458213817,2178521.342407195,2180508.6291340403,2181965.401521815,2182789.4877399304
CIII,10.0,2191746.6505089235,8055.579857693415,2177640.6564767943,2186446.724412688,2193271.2789597167,2198273.990691633,2201103.990646359
CIV,10.0,2329966.210211939,96874.63049188355,2178803.4193370556,2259210.0616097767,2337929.1476004682,2405904.137895031,2460617.150522159
CV,10.0,2334549.3667751392,99991.34192644239,2178803.4193370556,2261413.7287802156,2342581.57565553,2412900.3015662576,2469673.131181453
CVI,10.0,2335344.5885677054,100697.42754343634,2178803.4193370556,2261597.848991705,2343221.9127946724,2414213.3966566697,2471713.6319890395
CVII,10.0,2329849.430436042,96924.44826736656,2178615.973016056,2259058.344644775,2337808.273495702,2405823.233657688,2460583.15721092
CVIII,10.0,2334432.413125772,100041.1123787699,2178615.973016056,2261261.8628486064,2342460.4557835283,2412819.151189559,2469639.0040813447
CIX,10.0,2335227.5902332743,100747.18792695279,2178615.973016056,2261445.95691662,2343100.7347501274,2414132.1724412385,2471679.4588857633
CX,10.0,2202851.4027699,17204.058641967884,2175957.0458213817,2190302.336848276,2204291.909974171,2216345.0157652963,2226010.156342034
CXI,10.0,2203705.0711220345,17770.692408482897,2175957.0458213817,2190730.6667282796,2205171.458298393,2217637.8101077536,2227662.274264925
CXII,10.0,2203527.1341908053,17670.393350644594,2175957.0458213817,2190621.2313824673,2204967.867352005,2217375.876326583,2227376.819998027
CXIII,10.0,2282665.74865965,67348.75790308558,2177640.6564767943,2233452.8947352665,2288166.574564196,2335448.658826447,2373554.4675502144
CXIV,10.0,2285829.184969671,69522.0276715408,2177640.6564767943,2234945.555245702,2291358.331633999,2340294.6813685405,2379858.1703312737
CXV,10.0,2286817.5520909103,70323.45279557338,2177640.6564767943,2235264.170590537,2292232.9838334825,2341885.8549793605,2382166.82665753
CXVI,10.0,2200676.5838453127,12257.253609226005,2180443.346773752,2192380.3239314943,2201781.132083711,2211895.0580103607,2214106.9458610425
CXVII,10.0,2199432.768067468,11280.621489880004,2181365.960221826,2191156.994030172,2199973.231473906,2208463.455142051,2214014.254370768
CXVIII,10.0,2200273.65071841,12887.921382094872,2177763.3771000626,2192963.656972785,2204004.087740645,2210810.550930747,2215398.9908799715
LSTM,10.0,2112052.3649999998,970.1825225097728,2111497.51,2111508.985,2111511.67,2112038.0675000004,2113911.52
