Mes;Ano;Mes_Ano;CI_Pop_Uniforme;CII_Ambientalistas;CIII_Perdularios;CIV_PopUnif_RendaLinear;CV_PopUnif_RendaEquilibrio;CVI_PopUnif_RendaDesequilibrio;CVII_PopAleat_RendaLinear;CVIII_PopAleat_RendaEquilibrio;CIX_PopAleat_RendaDesequilibrio;CX_Ambient_RendaLinear;CXI_Ambient_RendaEquilibrio;CXII_Ambient_RendaDesequilibrio;CXIII_Perdul_RendaLinear;CXIV_Perdul_RendaEquilibrio;CXV_Perdul_RendaDesequilibrio;CXVI_PopUnif_RendaAleatLinear;CXVII_PopUnif_RendaAleatEquilibrio;CXVIII_PopUnif_RendaAleatDesequilibrio
1;2016;1/2016;207417,10579243407;207364,03016995097;207401,05151093513;207417,10579243407;207417,10579243407;207417,10579243407;207397,82372511693;207397,82372511693;207397,82372511693;207364,03016995097;207364,03016995097;207364,03016995097;207401,05151093513;207401,05151093513;207401,05151093513;206836,6892371954;207289,67162004646;207227,06323131494
2;2016;2/2016;207482,53646512478;207375,5518850465;207449,43376786672;207482,53646512478;207482,53646512478;207482,53646512478;207462,59660590254;207462,59660590254;207462,59660590254;207375,5518850465;207375,5518850465;207375,5518850465;207449,43376786672;207449,43376786672;207449,43376786672;207044,0277920683;207114,37165638068;206656,24251898096
3;2016;3/2016;207547,98938423864;207387,07751752078;207497,83247476537;207547,98938423864;207547,98938423864;207547,98938423864;207528,04274546652;207528,04274546652;207528,04274546652;207387,07751752078;207387,07751752078;207387,07751752078;207497,83247476537;207497,83247476537;207497,83247476537;206866,22576091767;207345,269401566;207094,03639232615
4;2016;4/2016;207613,46455734633;207398,60706871032;207546,24763722546;207613,46455734633;207613,46455734633;207613,46455734633;207593,51113671673;207593,51113671673;207593,51113671673;207398,60706871032;207398,60706871032;207398,60706871032;207546,24763722546;207546,24763722546;207546,24763722546;207175,5748470068;207260,47613825838;207764,30176382858
5;2016;5/2016;207678,96199201143;207410,1405399513;207594,67926083467;207678,96199201143;207678,96199201143;207678,96199201143;207659,00178721914;207659,00178721914;207659,00178721914;207410,1405399513;207410,1405399513;207410,1405399513;207594,67926083467;207594,67926083467;207594,67926083467;207064,5852185721;207205,23230557964;207896,3622532563
6;2016;6/2016;207744,48169580425;207421,67793256912;207643,12735119957;207744,48169580425;207744,48169580425;207744,48169580425;207724,51470454232;207724,51470454232;207724,51470454232;207421,67793256912;207421,67793256912;207421,67793256912;207643,12735119957;207643,12735119957;207643,12735119957;207549,9034503828;207145,53164593858;208133,91279720975
7;2016;7/2016;207810,02367629154;207433,21924789602;207691,59191391454;207810,02367629154;207810,02367629154;207810,02367629154;207790,04989625415;207790,04989625415;207790,04989625415;207433,21924789602;207433,21924789602;207433,21924789602;207691,59191391454;207691,59191391454;207691,59191391454;207508,9567731007;206893,2304962499;208092,71045611848
8;2016;8/2016;207875,58794105938;207444,76448727679;207740,0729545815;207875,58794105938;207875,58794105938;207875,58794105938;207855,60736993444;207855,60736993444;207855,60736993444;207444,76448727679;207444,76448727679;207444,76448727679;207740,0729545815;207740,0729545815;207740,0729545815;207973,0727162665;207061,53597527972;207618,56705208763
9;2016;9/2016;207941,1744976767;207456,31365203674;207788,5704788037;207941,1744976767;207941,1744976767;207941,1744976767;207921,1871331572;207921,1871331572;207921,1871331572;207456,31365203674;207456,31365203674;207456,31365203674;207788,5704788037;207788,5704788037;207788,5704788037;207347,9335791173;207099,2777301415;207410,7168497125
10;2016;10/2016;208006,78335372414;207467,86674351792;207837,08449218038;208006,78335372414;208006,78335372414;208006,78335372414;207986,78919350155;207986,78919350155;207986,78919350155;207467,86674351792;207467,86674351792;207467,86674351792;207837,08449218038;207837,08449218038;207837,08449218038;207583,41284945369;207737,07961573842;208243,9345642932
