,count,mean,std,min,25%,50%,75%,max
CI,10.0,2180859.220442193,11895.598213284055,2160029.033122408,2173032.869947912,2183110.6247849735,2190498.081652264,2194677.1156882606
CII,10.0,2161320.763151935,2345.7570480020972,2157213.1463813824,2159777.442967196,2161764.7296940405,2163221.5020818156,2164045.5882999315
CIII,10.0,2174244.139974079,8662.335380528039,2159075.666277511,2168545.017359858,2175883.6051900876,2181263.1269128607,2184306.285713063
CIV,10.0,2310125.546600202,96194.09893051919,2160029.033122408,2239864.977480307,2318030.2014412787,2385529.3319879808,2439862.5612874078
CV,10.0,2314656.2625188767,99276.94797148682,2160029.033122408,2242041.163894333,2322627.235097266,2392446.7368328418,2448820.079399333
CVI,10.0,2315470.2481457656,99994.65815082994,2160029.033122408,2242235.7068322846,2323287.8731999053,2393787.718998789,2450894.3700586115
CVII,10.0,2310025.23032802,96237.02471446752,2159867.722699977,2239734.5824092682,2317926.442071297,2385459.953589513,2439833.435153062
CVIII,10.0,2314555.8208575738,99319.84258344039,2159867.722699977,2241910.6594686047,2322523.2980544087,2392377.1825736053,2448790.8583164243
CIX,10.0,2315369.7986610443,100037.5554113353,2159867.722699977,2242105.2047485705,2323183.928651834,2393718.145833787,2450865.134266531
CX,10.0,2184107.503329899,17204.05864196716,2157213.1463813824,2171558.437408276,2185548.010534171,2197601.1163252946,2207266.256902033
CXI,10.0,2184961.1716820337,17770.692408482188,2157213.1463813824,2171986.7672882797,2186427.558858393,2198893.910667753,2208918.374824924
CXII,10.0,2184783.2347508054,17670.3933506439,2157213.1463813824,2171877.331942467,2186223.9679120053,2198631.9768865816,2208632.9205580256
CXIII,10.0,2271811.876063908,72291.32560931271,2159075.666277511,2218988.606373731,2277718.3059957973,2328468.962551478,2369367.543043475
CXIV,10.0,2275180.8617244046,74603.5548623956,2159075.666277511,2220581.4327386576,2281118.232444652,2333627.9565824224,2376076.7144708796
CXV,10.0,2276208.6428052993,75438.45997180507,2159075.666277511,2220911.3458658764,2282026.53790431,2335282.3454324235,2378483.3209112007
CXVI,10.0,2180089.853332423,12925.440213119306,2158435.964468867,2171085.6614827313,2183760.328503403,2191413.113376248,2193438.0313237775
CXVII,10.0,2181238.5809334563,12168.568781249698,2162282.8213386517,2170233.2279178137,2182678.5030419715,2191395.9450200703,2195487.8375689373
CXVIII,10.0,2181554.0342631186,11830.536401302174,2160605.6768611777,2173972.2973501002,2184688.1278597508,2189483.2566006593,2196592.245599806
LSTM,10.0,2112052.3649999998,970.1825225097728,2111497.51,2111508.985,2111511.67,2112038.0675000004,2113911.52
