,count,mean,std,min,25%,50%,75%,max
CI,10.0,2228889.2171124266,9367.735419843035,2212094.952943703,2222845.5312086414,2231085.492550594,2236611.951647755,2238977.883311937
CII,10.0,2215265.9983912418,2923.6695589836622,2210028.388412806,2213376.8029190823,2215950.582502718,2217676.9667685805,2218416.0489054816
CIII,10.0,2220788.9795352323,5522.1101441744395,2210883.9663852556,2217230.2327324376,2222084.7923946986,2225340.4648904777,2226734.25040678
CIV,10.0,2286585.900644985,46286.20284304753,2212094.952943703,2259335.6909884317,2284110.2020836086,2320496.021066763,2352276.859538389
CV,10.0,2288562.8470803336,47563.61881412359,2212094.952943703,2260586.7987518813,2285915.6476809494,2323352.7282164525,2356200.999018656
CVI,10.0,2288562.0193709778,47600.45171434523,2212094.952943703,2260540.071208991,2285886.477165348,2323357.508317063,2356312.213392259
CVII,10.0,2286508.7817278393,46329.23878512796,2211955.0709857857,2259227.0361889065,2284028.643218499,2320448.2309205118,2352270.399525851
CVIII,10.0,2288485.6806191164,47606.65794274508,2211955.0709857857,2260478.077558957,2285834.0181111963,2323304.8733475357,2356194.527053668
CIX,10.0,2288484.8635689,47643.48993081696,2211955.0709857857,2260431.3517513126,2285804.8479533466,2323309.668184977,2356305.740919128
CX,10.0,2231940.3879144373,13607.222093597398,2210028.388412806,2223900.563177298,2231258.679280772,2241923.8036837433,2251214.3047739244
CXI,10.0,2232588.7487027077,14025.08118959881,2210028.388412806,2224311.9409988397,2231851.537225183,2242862.585829041,2252495.610333849
CXII,10.0,2232418.29786248,13921.427666046191,2210028.388412806,2224196.67880861,2231690.5543209384,2242616.2827508952,2252178.2940138835
CXIII,10.0,2256255.68479443,28196.320142359673,2210883.9663852556,2239690.315934695,2254701.0390985804,2276899.113515394,2296307.217093553
CXIV,10.0,2257394.6731939903,28932.857752171934,2210883.9663852556,2240410.8999480917,2255740.879568767,2278542.065019991,2298573.3022985575
CXV,10.0,2257577.6132875453,29078.46794152242,2210883.9663852556,2240492.3955010697,2255887.699947457,2278811.32903561,2299018.275220169
CXVI,10.0,2222825.5358198103,8853.767741856853,2208173.122622361,2216479.8542128154,2224338.885426395,2231044.8488383656,2232151.436951012
CXVII,10.0,2223193.539979908,9141.9284042907,2208043.109928134,2216380.8001249093,2225721.543401052,2230874.82150376,2232919.382620541
CXVIII,10.0,2222833.2956853965,9334.190521065178,2206642.5896224873,2215989.615082369,2224883.1861855974,2231004.5855569094,2232969.7132449956
LSTM,10.0,2160104.6,1035.7723044504844,2158332.0,2159395.5,2160570.5,2160865.25,2160867.0
SARIMA,10.0,2264130.5058223484,3.8759638779666106,2264120.0991710345,2264131.1570854937,2264132.2444114657,2264132.357524335,2264132.368814447
