Scenario	Mean_Diff	p_adj	Significant
CI	87762.292	0.1711	False
CII	68012.2976	0.6199	False
CIII	79694.2855	0.3209	False
CIV	217913.8452	0.0	True
CIX	223175.2252	0.0	True
CV	222497.0018	0.0	True
CVI	223292.2236	0.0	True
CVII	217797.0654	0.0	True
CVIII	222380.0481	0.0	True
CX	90799.0378	0.1306	False
CXI	91652.7061	0.1206	False
CXII	91474.7692	0.1227	False
CXIII	170613.3837	0.0	True
CXIV	173776.82	0.0	True
CXV	174765.1871	0.0	True
CXVI	88624.2188	0.1587	False
CXVII	87380.4031	0.1768	False
CXVIII	88221.2857	0.1644	False
