Scenario	Mean_Diff	p_adj	Significant
CVIII	202503.4559	0.0	True
CXV	164156.2778	0.0	True
CXIV	163128.4967	0.0	True
CIV	198073.1816	0.0	True
CIX	203317.4337	0.0	True
CV	202603.8975	0.0	True
CVI	203417.8831	0.0	True
CVII	197972.8653	0.0	True
CXIII	159759.5111	0.0	True
CXI	72908.8067	0.5058	False
CXII	72730.8698	0.5105	False
CX	72055.1383	0.5285	False
CXVIII	69501.6693	0.5966	False
CXVII	69186.2159	0.605	False
CI	68806.8554	0.615	False
CXVI	68037.4883	0.6353	False
CIII	62191.775	0.7784	False
CII	49268.3982	0.9645	False
