Scenario	Mean_Diff	p_adj	Significant
CII	-48494.2375	0.0421	True
CIII	-42974.1864	0.1363	False
CXVIII	-41187.5468	0.1892	False
CXVII	-40720.9554	0.2052	False
CXVI	-40459.8739	0.2146	False
CI	-34870.7098	0.4782	False
CX	-31691.5912	0.6567	False
CXII	-31214.7366	0.6826	False
CXI	-31047.032	0.6916	False
CVI	25202.4739	0.9266	False
CV	25187.9377	0.9269	False
CIX	25125.1913	0.9285	False
CVIII	25110.6445	0.9288	False
CIV	23228.7338	0.9645	False
CVII	23151.4877	0.9656	False
CXIII	-7287.6068	1.0	False
CXV	-5967.4901	1.0	False
CXIV	-6159.7641	1.0	False
